feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GABA	Metabolomics_Run	R3	-0.479319646359888	0.0987368180852309	45	45	1.70494502123367e-05	0.000375087904671408
Thyroxine	Metabolomics_Run	R3	0.326735073908205	0.0824173427449264	45	45	0.000280417057666975	0.00308458763433672
Glutamine	Metabolomics_Run	R3	-0.236010292783801	0.0636532899323203	45	45	0.000606680245232037	0.00406500780679914
Kynurenic_acid	Metabolomics_Run	R3	0.456697271543206	0.125432455541956	45	45	0.000739092328508935	0.00406500780679914
Corticosterone	Category	Live	-0.37517663497475	0.140484386975194	45	45	0.0109462389546465	0.0481634514004447
Kynurenic_acid	Category	Live	0.260032198778045	0.124686567131382	45	45	0.0431394565794082	0.15817800745783
GABA	Category	Live	0.164792182454254	0.0981496762008716	45	45	0.100580218011309	0.31610925660697
Histamine	Metabolomics_Run	R3	-0.369520804245039	0.249056286390828	45	45	0.145359063841237	0.399737425563401
Indolelactic_acid	Metabolomics_Run	R3	-0.221943738497259	0.139429522178291	45	45	0.183123959138333	0.44763634456037
Corticosterone	Metabolomics_Run	R3	-0.160919371019673	0.15359035641146	45	45	0.350403834355037	0.751913622569427
Glutamic_acid	Metabolomics_Run	R3	-0.179315053939939	0.178260179663454	45	45	0.376173462028307	0.751913622569427
Glutamine	Category	Live	-0.0474709047546743	0.0632747734546649	45	45	0.457296055336088	0.751913622569427
Kynurenine	Category	Live	0.0808836247339889	0.0985284948277458	45	45	0.416329379100126	0.751913622569427
Serotonin	Category	Live	0.0570660852378874	0.0933274421005069	45	45	0.544509123697542	0.751913622569427
Tryptophan	Category	Live	-0.00989466235107002	0.016277360255576	45	45	0.546846270959583	0.751913622569427
Tryptophan	Metabolomics_Run	R3	0.0212890575775425	0.0320588258558816	45	45	0.543721863024698	0.751913622569427
Kynurenine	Metabolomics_Run	R3	-0.0390306748316782	0.0991179028457391	45	45	0.695735391501325	0.900363447825244
Glutamic_acid	Category	Live	-0.0342740839931106	0.11554367388613	45	45	0.768343910337143	0.939087001523175
Serotonin	Metabolomics_Run	R3	0.0553329009732729	0.221972642006248	45	45	0.815619888062005	0.944401975650743
Indolelactic_acid	Category	Live	0.013605894536833	0.122945828445774	45	45	0.912444296901201	0.968786666029685
Thyroxine	Category	Live	-0.00778472048750854	0.0819272451819143	45	45	0.924750908482882	0.968786666029685
Histamine	Category	Live	0.00973226922130521	0.247575264618617	45	45	0.968829226524357	0.968829226524357
