feature	Corticosterone	Glutamic_acid	Glutamine	Histamine	Indolelactic_acid	Kynurenic_acid	Kynurenine	Serotonin	Thyroxine	Tryptophan	GABA
R1_S10_6303	203488	233790	1673840	44286	65386	28998	218798	3696066	5980	22571728	58609
R1_S13_5916	214210	177797	1496206	27325	54501	21591	230712	4138491	7814	21413596	68147
R1_S14_6308	151434	262351	1920356	43078	38504	24282	298738	5807866	6520	18744812	78144
R1_S16_5847	189332	452611	1586897	43871	50034	10617	162922	3467212	7653	23049252	59999
R1_S19_6309	157237	378458	1825556	47898	43550	30898	186370	4076173	4778	22968076	94687
R1_S2_5810	101659	259242	1422291	54071	53232	38081	225604	1739375	5558	18651226	56272
R1_S21_5812	215813	214211	1782175	35122	38772	20730	179787	3251452	6881	19494930	68088
R1_S23_5799	100969	213203	1640203	25466	34365	20623	166838	2101874	6465	21262120	82878
R1_S25_5950	227520	270229	1768947	47461	38219	23540	156007	3598263	6865	21171836	42082
R1_S28_6310	128173	433746	1973263	37468	38412	32586	243748	4145683	7039	22285886	71247
R1_S29_6295	276321	159143	1551147	24883	38150	26685	158500	3741037	9883	22289926	57076
R1_S30_5811	138346	509415	1714790	96594	41222	26037	186422	1712755	6604	21220232	62009
R1_S33_5851	202826	272134	1445624	23680	25695	30960	189060	3784285	4809	20586968	80654
R1_S34_5953	167724	290999	1570562	97713	35948	30371	177958	4112580	7393	19407708	64046
R1_S36_5949	188642	182578	1767233	18162	57276	22510	204483	3178511	8483	21793312	53290
R1_S37_5952	81714	190096	1623422	24451	54635	18915	168218	6305364	7152	20515434	68974
R1_S4_5887	246777	208648	1653665	68485	42228	16320	204013	2348365	6153	22349202	51814
R1_S42_5814	124092	328520	1421161	38693	26593	30613	204107	1955521	8500	21249018	70976
R1_S5_6304	119459	214712	1793833	57113	39229	25121	208406	4543299	5887	21065766	58927
R1_S6_6300	74875	215908	1930530	14978	33540	27141	162758	4381793	7426	20397092	88602
R3_S1_6405	215342	195581	1849925	11592	60952	23040	142200	4359902	10336	19290008	63707
R3_S10_6392	91695	324405	1526463	58595	35446	56896	287874	4445090	6991	23584832	65906
R3_S13_6391	286111	396638	1644500	67859	66111	40621	212765	3272081	9520	24365336	64753
R3_S14_6397	200358	211105	1312730	34614	57135	48993	215145	5393652	8686	24023004	50812
R3_S18_6483	115004	217787	1561991	25181	31497	31640	201532	3279171	6617	19971378	44719
R3_S2_6445	194979	246527	1902197	25581	30064	22869	212328	4128867	8758	24063408	51360
R3_S22_6442	236239	254002	1431383	45483	32010	42769	178805	4337321	6271	21733088	56276
R3_S23_6450	145875	204932	1027857	28450	64683	69664	229713	3785646	8513	19852664	36400
R3_S24_6484	72675	248473	1435500	35767	35934	28853	206594	2508896	6900	17864650	44658
R3_S26_6439	184030	203283	1575174	36835	34778	33095	258155	2993840	7616	21285866	40545
R3_S28_6396	179955	128377	1334301	18626	34036	32526	210545	4384447	9022	22963272	37075
R3_S30_6479	113479	164254	1655972	16913	32798	44546	291309	3339506	7291	21789396	55458
R3_S33_6446	70139	317434	1688419	27755	37820	44049	159699	4105874	11564	26224062	61358
R3_S34_6475	139390	195555	1111170	29396	33659	26753	188844	2652436	9553	23119376	31843
R3_S36_6433	106560	310390	997466	109898	22576	32565	215567	2755417	8725	21629672	38571
R3_S39_6395	162696	238573	1174956	21445	49196	55114	308074	4753351	8273	24518854	57441
R3_S41_6443	157183	285203	1921244	57628	22956	23863	137117	3183037	8709	22467520	33638
R3_S42_6436	122623	228842	1342060	24493	23805	26858	114246	3522296	10050	19939774	46711
R3_S44_6402	135800	216375	1272771	37057	35462	26272	197711	3384520	7404	19509780	21498
R3_S45_6400	166315	180878	1505423	30671	29874	30309	140740	3545244	8417	21254026	65956
R3_S46_6489	112562	257434	1596463	5694	25667	35789	231872	2870909	9731	25224012	67288
R3_S47_6477	152491	214978	1348779	45678	28751	38652	206917	2950960	12066	20615718	55952
R3_S5_6486	90147	212729	1171926	28511	26059	24419	140741	2842094	6794	20315016	47292
R3_S7_6471	135853	270607	1633529	34319	39089	21290	138103	4248747	12441	19899600	38638
R3_S9_6438	151351	185931	1309344	21193	48512	26493	109071	3934302	7980	16913618	47604
