feature	Corticosterone	Glutamic_acid	Glutamine	Histamine	Indolelactic_acid	Kynurenic_acid	Kynurenine	Serotonin	Thyroxine	Tryptophan	GABA
R1_S10_6303	0.00706531783704916	0.00811743521546098	0.0581174890330947	0.00153765659759573	0.00227027083706802	0.00100684112399135	0.00759689717384162	0.128331307186227	0.000207631902940488	0.783714186838644	0.0020349662540868
R1_S13_5916	0.00769145423098204	0.00638400395829286	0.0537229819761949	0.000981135273150574	0.00195692053145396	0.000775249466883588	0.00828397735184319	0.148597236878909	0.000280570577288146	0.768879574038281	0.00244689571672066
R1_S14_6308	0.00553161637246524	0.00958321834550119	0.0701472106037076	0.00157356320306574	0.00140648306724647	0.000886978543498824	0.0109123711443766	0.212151080039385	0.000238164076419254	0.684714852397631	0.00285446220670341
R1_S16_5847	0.006510639468508	0.0155641256653966	0.0545692975337341	0.00150861061058307	0.00172054029518163	0.000365091264219199	0.00560246764143547	0.119228483789769	0.000263166944058541	0.792604365827155	0.00206321095995929
R1_S19_6309	0.00527398813987444	0.0126941050989309	0.0612321571428902	0.00160657786604747	0.00146073877962268	0.00103636984644734	0.00625115697722801	0.136721560816325	0.000160261995155848	0.77038712529325	0.00317595804422808
R1_S2_5810	0.00449687040662574	0.0114675304493893	0.0629148261099375	0.00239182246290698	0.0023547094254862	0.00168450724436316	0.00997955863441893	0.0769409886338116	0.000245857284844685	0.825034145984995	0.00248918336322061
R1_S21_5812	0.00852747481316255	0.00846417457336844	0.0704195411080332	0.00138778465795802	0.00153200805074735	0.000819109844526787	0.00710397016970273	0.128475462720999	0.000271890730351608	0.770308204600126	0.0026903787310246
R1_S23_5799	0.00393564545926401	0.00831038654291381	0.0639330635068309	0.000992632860240443	0.00133950476094254	0.000803858771567527	0.00650313677596776	0.0819284222290513	0.000251997621984389	0.828770870587274	0.00323048088396322
R1_S25_5950	0.00831853525920782	0.00988005214732977	0.0646758438430463	0.00173525844733326	0.00139735451420387	0.000860664205352286	0.00570389297724699	0.131558885537108	0.00025099659174781	0.774079923822809	0.00153859265461491
R1_S28_6310	0.00436003352830508	0.0147546449156079	0.0671240654440784	0.00127454094262079	0.00130665278872504	0.00110847099274691	0.00829152358497738	0.141022811962928	0.00023944415755065	0.758094217721242	0.00242359396121767
