feature	Corticosterone	Glutamic_acid	Glutamine	Histamine	Indolelactic_acid	Kynurenic_acid	Kynurenine	Serotonin	Thyroxine	Tryptophan	GABA
R1_S10_6303	-7.14502982224574	-6.94476031912746	-4.10488381711638	-9.34505094018081	-8.78291986732776	-9.95594823559056	-7.04037399057284	-2.96205492747987	-12.233684246654	-0.351600481885968	-8.94077941423214
R1_S13_5916	-7.0225278888837	-7.29132273858308	-4.21831680379438	-9.99326031909956	-8.9971991138814	-10.3330517508104	-6.91546067538519	-2.75052080524341	-11.7993486543625	-0.379170441489507	-8.6748316675831
R1_S14_6308	-7.49808317819775	-6.70527404505144	-3.83347045340224	-9.31174915819081	-9.47369210061708	-10.1388131741914	-6.51789157147249	-2.23683607162757	-12.0357565594635	-0.546424788097725	-8.45256532359455
R1_S16_5847	-7.26298503424545	-6.00563165592465	-4.19576671764418	-9.37256380661336	-9.18292260416641	-11.4194552306847	-7.47972187357709	-3.06819915679511	-11.8917340935074	-0.335327180899862	-8.92089294267818
R1_S19_6309	-7.56688995778338	-6.29969749741568	-4.02956668119655	-9.28179337902352	-9.41908607711446	-9.91424533915083	-7.32166105315401	-2.87068732282856	-12.6072800370317	-0.376344501818641	-8.2985924306774
R1_S2_5810	-7.796862976464	-6.44630145160493	-3.99045615621832	-8.7076739776467	-8.73023524447354	-9.21345765175935	-6.64680827371034	-3.70010382247534	-11.9898912761558	-0.277474264954621	-8.65011177573109
R1_S21_5812	-6.87366569597605	-6.88441490135764	-3.8278803639273	-9.49300056184556	-9.35036040597444	-10.2536554459642	-7.13715876098537	-2.96043524668211	-11.8446854135628	-0.376492303256713	-8.53797500596544
R1_S23_5799	-7.98918402262309	-6.91086870170073	-3.96729396406653	-9.97645216496959	-9.54408457576549	-10.2807703202551	-7.26464851736012	-3.60949215798761	-11.9543022599811	-0.270954798423965	-8.27403534659435
R1_S25_5950	-6.90945476594857	-6.66126562822708	-3.95062921751355	-9.17063373256868	-9.48308620020734	-10.1822619105295	-7.45383737206744	-2.9262194029217	-11.9600446054209	-0.369445562432473	-9.34417295874919
R1_S28_6310	-7.84144505540909	-6.08268698839862	-3.89702609291249	-9.61580656625118	-9.57990845380594	-9.81721326742732	-6.91414706031995	-2.82599954188163	-12.0280231453768	-0.399550933836431	-8.68863626869172
R1_S29_6295	-6.67998166930036	-7.47600317780737	-4.19106336847088	-10.1530945398735	-9.53657191620043	-10.052225961934	-7.4818440380082	-2.92096054883106	-11.4852340275363	-0.346078861574748	-8.95537074185183
R1_S30_5811	-7.53815320795367	-5.65759269866814	-3.90647413590767	-8.05642865683784	-9.28494773178986	-9.94779900490581	-7.10786201473058	-3.90818724821002	-11.9269502093645	-0.27713752079655	-8.6958846109537
R1_S33_5851	-7.03757019443663	-6.61349557989519	-4.20419233804984	-10.1360718097456	-10.0182532385694	-9.74933541923014	-7.13896863563586	-2.81586395670984	-12.4359320593862	-0.372225237151745	-8.36799480572508
R1_S34_5953	-7.27422425380662	-6.47929920051046	-4.04710440463551	-8.05369097582138	-9.49632998357441	-9.73954707913203	-7.18877660608552	-2.65834155787392	-11.7780096723579	-0.419827456578557	-8.66313302110546
R1_S36_5949	-7.18629744671836	-7.23343542964588	-3.95852800705328	-10.5629533797047	-8.90594571847999	-10.2533104039118	-7.06996745827378	-3.11166918969694	-11.6612299936658	-0.334206711902026	-9.01001162760596
R1_S37_5952	-8.47415503618165	-7.2560820416136	-4.16184405222789	-10.214844841715	-9.05491285224457	-10.5852075352307	-7.43247812872783	-2.20430246408331	-11.9883196699841	-0.502244352470778	-8.71868567639319
R1_S4_5887	-6.78402521931473	-7.02616206696479	-4.03963806128775	-8.63337321867826	-9.33096133361328	-10.7025201962252	-7.05857207293105	-3.53364840370844	-12.1097993558831	-0.283153649374303	-9.03581929072627
R1_S42_5814	-7.68055348987662	-6.27598239706099	-4.16296550198175	-9.36181910496165	-9.90284515596358	-9.6997472627173	-6.96263793874054	-3.70248247635679	-11.5483569487738	-0.260711240248602	-8.48656042452449
R1_S5_6304	-7.8795400439009	-7.03365276996702	-3.97108191274378	-8.94416452115575	-9.4860631291799	-10.1290897936118	-7.07665878059422	-2.63038724502703	-12.2223791560623	-0.417299027579352	-8.89905486901814
R1_S6_6300	-8.51203072031927	-6.98417002306462	-3.82366165483704	-10.8336698234437	-9.67063212931844	-9.97604094092514	-7.39185826580004	-2.64113729677126	-11.8458575979154	-0.422367050784845	-8.26917555332849
R3_S1_6405	-6.92803637383286	-7.06689987759341	-3.82527122518137	-11.1434646968678	-8.74892063652624	-10.1524534800951	-7.5267446370306	-2.58844230001189	-11.3089162217308	-0.442956170507997	-8.68514229518737
R3_S10_6392	-8.37700257125281	-6.55412148844548	-4.31979682887847	-9.02306807652757	-9.74822280726105	-9.06551840979641	-6.72648004971288	-2.77777681961947	-12.0902748989852	-0.370202030147942	-8.8534358267082
R3_S13_6391	-6.73259989234781	-6.26135195588145	-4.20959775475801	-8.80856278268768	-8.84621261554001	-9.54887719664454	-7.15991401186389	-3.21703830045488	-11.6420694740602	-0.320488550492542	-8.87615591844182
R3_S14_6397	-7.29920111495165	-7.22382048138773	-4.58728291991141	-9.83235365621428	-9.10933453682463	-9.33113369023352	-7.19647191831912	-2.54859069420082	-11.8269454675426	-0.393508474049307	-9.27854007459038
R3_S18_6483	-7.79190637619475	-6.87067257697821	-4.02827618142894	-9.98318293488125	-9.66030408953455	-9.65376891226544	-6.98258148376611	-2.9583311859198	-11.9112693274088	-0.351800347051863	-9.15463058487831
R3_S2_6445	-7.30753429671309	-6.96910738382191	-4.02125828441098	-10.2377084775964	-10.00474416818	-10.3993878581044	-7.18455841109597	-2.90317900343306	-11.7841077851474	-0.360155875529657	-9.23213593759035
R3_S22_6442	-6.90714334947826	-6.80255064738949	-4.30805265873815	-9.28399118336088	-9.79079592214954	-9.37275312368475	-7.30900342436747	-2.70865818995152	-12.1425511743372	-0.383641136364945	-8.97679881106355
R3_S23_6450	-7.44703842323429	-6.9566258013248	-4.63020341988516	-9.80527052152242	-8.6203125814401	-8.51328586141552	-6.79193857462859	-2.74930347496072	-11.5459596385087	-0.358582275892407	-9.44976072363031
R3_S24_6484	-8.27353821457166	-6.49998019434841	-3.96958786061336	-9.29636826530144	-9.28964784278308	-9.60627604958034	-6.76627093066154	-3.16408852248151	-11.6703291139297	-0.332105447011251	-8.97607873914788
R3_S26_6439	-7.1782248950906	-7.03467629262087	-4.08072656606814	-9.49901671647954	-9.581918990032	-9.65348068829776	-6.68992832342782	-3.15424064792462	-11.7729885753457	-0.324413888128414	-9.3605699465104
R3_S28_6396	-7.34870439820885	-7.83595383328186	-4.45832833557914	-10.6209507971674	-9.75120718311871	-9.81667526804174	-7.12221197096459	-2.74201760061638	-11.6667494896293	-0.353156172161419	-9.6278219881193
R3_S30_6479	-7.92143533820698	-7.38793217642054	-4.05425430654218	-10.6676561902441	-9.71218093260205	-9.27049288453019	-6.56131040639422	-3.04229787950472	-11.8816001689065	-0.336378285253657	-8.95439318662129
R3_S33_6446	-8.86698184485467	-6.68881394972158	-4.27766954739675	-10.2044510134077	-9.75804934321951	-9.53808943903952	-7.67991533268131	-2.99565316165914	-11.4675581925796	-0.320523251412437	-9.05994724839103
R3_S34_6475	-7.62615160052363	-7.13770424109334	-4.63127101568629	-9.87158690304891	-9.6762144445011	-10.0075060797007	-7.18808371800027	-3.37603262882925	-11.4931809899941	-0.252320015531861	-9.75623049791723
R3_S36_6433	-7.94326538335336	-6.40084929267618	-4.71666370494608	-7.89876623951375	-10.1820695727147	-9.65353723908832	-6.92679503035554	-3.25073260571881	-11.5536324293276	-0.278063393172782	-9.40934291569062
R3_S39_6395	-7.5900495675776	-7.03779757103317	-4.73769352297151	-10.5135151282266	-9.3156154256835	-9.1517376069816	-6.66895141848963	-2.72135531643697	-11.887673956935	-0.35448060983854	-9.09207557870058
R3_S41_6443	-7.49211608571119	-6.63257212091579	-3.88059242892417	-8.93971942176435	-10.2676180936013	-10.2117139464711	-7.68915382822877	-3.1522292562147	-11.6659103953208	-0.332864202086139	-9.71639744267052
R3_S42_6436	-7.69455492993103	-6.79443267779364	-4.24240726899198	-10.0183431391287	-10.0594480019824	-9.88536075341997	-7.79664088170103	-2.85034028838135	-11.3035171294725	-0.349279288079628	-9.0869502998555
R3_S44_6402	-7.5153079281992	-6.84325758818993	-4.28689044344603	-9.38897341192224	-9.45244559844855	-9.88519347044085	-6.97339826760004	-2.87591207074053	-11.7123427023481	-0.348737708368666	-10.1745170532868
R3_S45_6400	-7.34064349894406	-7.21954484538167	-4.16246477726528	-9.77961468029674	-9.81759946418761	-9.79674363207714	-7.58152937240966	-2.92674877185977	-11.6451118629762	-0.342969454097025	-8.67498597838966
R3_S46_6489	-8.07898244477546	-6.88549970572274	-4.25289510053002	-12.3841160091696	-10.2117157260985	-9.73211417417521	-7.03637369645857	-3.40626661582329	-11.6109704319906	-0.271048361222623	-8.82128116677826
R3_S47_6477	-7.39526832911788	-6.89980339897025	-4.25041035240659	-9.13442103747417	-9.80230838562871	-9.37537745495559	-6.9549402468276	-3.12087996643573	-11.054973034033	-0.316391528859934	-8.84173082036184
R3_S5_6486	-8.10998238554722	-6.8713170514986	-4.40952420159505	-9.77074322507608	-9.90048014425957	-9.994257745893	-7.46729110282649	-3.13145140545138	-11.8399287432579	-0.293931081097071	-9.04066571127811
R3_S7_6471	-7.60628873375114	-6.61213599915092	-4.01841499623337	-9.59125573748462	-9.40350057599625	-10.2800873033506	-7.58259049877257	-2.63936962527212	-11.0551608000632	-0.41173953689659	-9.42024283455615
R3_S9_6438	-7.23216686563945	-6.93529774423333	-4.11929279606337	-10.0684053432816	-8.87365150921645	-9.74638194775975	-7.70479750674014	-2.53202927383283	-11.4775325162778	-0.428023582839875	-8.9009103645211
