feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Histamine	Category	Live	-0.379406035564682	0.157017032184	44	44	0.0206469693377565	0.227116662715321
Kynurenine	Metabolomics_Run	R3	-0.365595208543037	0.0979002441638096	44	44	0.0199252730003369	0.227116662715321
Indolelactic_acid	Metabolomics_Run	R3	-0.207745875888946	0.103512223944782	44	44	0.0513769224111482	0.376764097681753
Thyroxine	Metabolomics_Run	R3	0.319895066471842	0.132185927749582	44	44	0.0706735364732334	0.388704450602784
Glutamine	Metabolomics_Run	R3	-0.175128461744293	0.0797755031335636	44	44	0.0894933392545569	0.39377069272005
Indolelactic_acid	Category	Live	0.163166393718316	0.103512223944782	44	44	0.122642161823591	0.426425200257567
Tryptophan	Metabolomics_Run	R3	0.0329121712168926	0.0216240420581232	44	44	0.135680745536499	0.426425200257567
Glutamic_acid	Category	Live	-0.142510842443314	0.109333734985342	44	44	0.200367404133615	0.458775312212056
Glutamine	Category	Live	-0.100990541127891	0.0735046474620159	44	44	0.177515457412191	0.458775312212056
Tryptophan	Category	Live	0.0276295563254472	0.0216240420581232	44	44	0.208534232823662	0.458775312212056
Histamine	Metabolomics_Run	R3	-0.297003068637869	0.231588877366326	44	44	0.266775649490711	0.489088690732971
GABA	Category	Live	-0.143526201595592	0.122732226513195	44	44	0.249658697565757	0.489088690732971
GABA	Metabolomics_Run	R3	-0.275679330142224	0.252557774776547	44	44	0.336035540801406	0.568675530586994
Kynurenic_acid	Metabolomics_Run	R3	0.183301448847266	0.179286907844492	44	44	0.366217395266943	0.575484478276625
Corticosterone	Category	Live	-0.203698129176322	0.263278661799802	44	44	0.444000419055467	0.610500576201267
Glutamic_acid	Metabolomics_Run	R3	-0.143521518071151	0.162496463872027	44	44	0.426315063708404	0.610500576201267
Kynurenine	Category	Live	-0.0486000227826977	0.0786645412608116	44	44	0.540416741403515	0.699362841816314
Serotonin	Category	Live	-0.0582696225790103	0.107515305457754	44	44	0.590775563842396	0.72205902247404
Kynurenic_acid	Category	Live	0.0613209250562053	0.154278528814482	44	44	0.6932690729509	0.76259598024599
Serotonin	Metabolomics_Run	R3	-0.0446290070556498	0.107515305457754	44	44	0.680236992346035	0.76259598024599
Corticosterone	Metabolomics_Run	R3	-0.200885008415723	0.60418681518027	44	44	0.756239884696675	0.773366470815158
Thyroxine	Category	Live	-0.0291233272895634	0.100407156398479	44	44	0.773366470815158	0.773366470815158
