feature	Corticosterone	Glutamic_acid	Glutamine	Histamine	Indolelactic_acid	Kynurenic_acid	Kynurenine	Serotonin	Thyroxine	Tryptophan	GABA
R1_S1_6342	-9.16195387852987	-6.2920148569367	-3.461271414049	-10.0264558721009	-9.30683241052651	-9.85009496209476	-7.49135611452061	-2.21799681662811	-10.6064834816713	-0.582046970205884	-9.02156308806549
R1_S11_6324	-8.82716357575973	-6.55095346588699	-3.79805780865388	-9.61378407655005	-9.58101930954112	-10.4642642858039	-7.44650987353427	-2.6065149802508	-11.5543184541167	-0.435876974017105	-8.67421854830113
R1_S12_6344	-9.33169372415636	-5.60609219492422	-3.39923548217595	-8.89570463018661	-9.7753499073789	-10.4295306578157	-7.19604880572554	-3.00408749452248	-11.4082552958349	-0.424786528614573	-8.71101583589247
R1_S15_6327	-8.33640870003986	-6.53724731373035	-3.60974710208238	-10.1504390261387	-9.37377271744727	-9.33263700519647	-7.18222608068335	-3.71983689619625	-11.2334953548886	-0.29517602652903	-8.88327559871132
R1_S17_6357	-11.4044654660429	-6.53945159073435	-4.14416979485827	-10.2958973998163	-9.26760797904153	-9.31403591439372	-7.19016773442087	-2.9284686222258	-11.5781777023797	-0.343939377410108	-9.02492545814905
R1_S18_6329	-8.31666195565055	-6.06990574320709	-3.54255201219945	-10.3514172570881	-9.56615941895219	-9.99288814776558	-7.12638201027914	-2.67067053823962	-11.4540999881863	-0.462024300547254	-8.61077982872076
R1_S20_6193	-7.32677496806316	-5.88504395311195	-3.53431550558407	-9.50518805650407	-9.33502966988386	-9.47911190466217	-6.99577480556835	-3.08361428524259	-11.4414952177296	-0.400837255386804	-8.56598785769545
R1_S22_6188	-7.63392859037842	-6.2605412056846	-3.78427962128977	-10.069242800774	-9.5497012925258	-10.6431877002992	-7.28909976254829	-2.65025932364439	-10.6471398278778	-0.438053995452839	-8.9563959882655
R1_S24_6330	-8.61769571800154	-5.51409211387562	-3.90840564774226	-9.69206337902422	-9.64861351129939	-10.4391324290973	-7.91415452868337	-2.39786714470342	-11.1310316785555	-0.495773469946811	-8.77529795453443
R1_S26_6191	-8.23739145602282	-6.43790362708326	-3.70715067500894	-9.93285147406492	-10.0494323312114	-10.0677097019968	-7.46911418392185	-2.56048522053303	-11.3500237881734	-0.459685973609812	-8.38208829213642
R1_S27_6346	-8.51982347426335	-6.33063242507525	-3.98385837793435	-10.91536374398	-9.96404135182553	-9.00129839724608	-7.44378230028163	-2.94049302077017	-11.4323672312036	-0.361420494045171	-8.19598080408778
R1_S3_6326	-7.76675768136722	-5.99453288702129	-4.0510990420151	-9.75500079014452	-9.49548891324737	-10.1573239734608	-6.9933801082732	-2.74179313551957	-11.8614905901112	-0.403052914815519	-8.88976421895108
R1_S31_6343	-9.5324131148509	-6.33024535016347	-4.22439681411951	-10.1321340627162	-9.92464023123993	-8.74351689541331	-6.66181267523422	-2.91333774539773	-11.4067689080056	-0.353085344943211	-8.59850164127047
R1_S32_6335	-8.26031232501338	-6.51701571891968	-3.96567943371748	-10.6232758350449	-10.1882926420051	-9.44181815731321	-7.33311647677985	-2.91571338569285	-11.5561166130781	-0.363162076924482	-8.71900276971149
R1_S35_6356	-10.6101616505463	-6.15162787556299	-3.91419500932849	-10.0509144784091	-10.0779686212687	-9.68797219628225	-7.30439513037743	-2.85684638875395	-11.3565926260503	-0.379475299254942	-8.6911306963529
R1_S38_6178	-7.35611117362328	-5.10313451977111	-3.11060296457326	-8.38390962596685	-9.86737459592461	-10.1033055521282	-7.4793730165452	-2.8270352423869	-10.6773626543965	-0.52964047529147	-7.89864409239178
R1_S39_6355	-10.0909636321373	-5.90610599847412	-3.59350817481234	-10.0259479995816	-10.361329496292	-10.4799260733518	-7.39853096727002	-2.60220177046678	-11.0610910910972	-0.466206045881644	-8.82884294160305
R1_S40_6181	-8.56268909529288	-5.7966455272704	-3.81036380851818	-9.99059740051841	-10.1541665958183	-9.55885946650719	-6.87543961719263	-2.50830109463416	-11.2447508760791	-0.480962379739467	-8.07517606155138
R1_S41_6292	-8.73461989933043	-5.42928790187816	-3.57136474267581	-9.21131371947177	-9.67500344371778	-10.5293663036874	-7.30194837232566	-2.3028321284001	-11.3824055294572	-0.570947504198303	-7.90064323159217
R1_S7_6192	-8.26151732639305	-6.50250237273096	-3.76341986587124	-10.5190397172721	-9.48122235323045	-10.0119120735735	-7.0676653981987	-2.73287250680889	-11.1724258192269	-0.417180269920493	-9.09816672863742
R1_S8_6334	-9.34919132819955	-7.06055225258109	-3.58820904232985	-10.572261738249	-9.77736915422809	-10.2849236757192	-7.08567026523823	-2.73779688328715	-10.9294886832521	-0.424125128241828	-8.85975255450369
R1_S9_6189	-9.04012362909295	-5.84474985985412	-3.48851053236743	-8.63834017756252	-10.0016845296237	-10.5897708457506	-7.24843096549035	-3.32579249690632	-10.9016518332937	-0.361437866767276	-8.79523095048269
R3_S11_6456	-8.59339249315824	-6.43335262445368	-3.77212030185822	-10.375219955491	-10.3141976035352	-10.4014871807378	-7.99751790713379	-2.57239829010819	-10.9349728357465	-0.443408263172786	-8.68817537271649
R3_S12_6425	-11.7936645923268	-5.67718650197727	-3.49849415307015	-10.4159677511275	-9.9980928499387	-9.82644346251696	-7.6533487824493	-2.44765371454546	-10.587128148296	-0.519901133722502	-8.62224290823285
R3_S15_6468	-8.8395965280446	-6.57282198735836	-4.00613434861912	-10.3780257761602	-10.0179249272553	-9.41785465403571	-7.49024993182581	-2.37313816446588	-11.0841190744742	-0.471747176082517	-9.14915286429659
R3_S16_6459	-9.87515338884288	-6.53669434550825	-4.23908070045139	-10.4149125611376	-9.68106007114906	-9.90995295296903	-7.46181435017699	-2.89597609027454	-11.240886861686	-0.338129678015641	-10.4378057994486
R3_S17_6429	-10.1417808692163	-6.05930595469007	-3.74740089668668	-9.54365485297447	-9.88650837090282	-9.40636704319636	-7.60203410452217	-2.57506921783824	-11.03953768493	-0.455601342601411	-8.31145080539467
R3_S19_6466	-9.79455392519526	-6.53479820142522	-3.94043780227586	-11.1490273152492	-9.40778851056999	-9.47983256419931	-7.4127476166161	-3.05492151246311	-10.4603673002267	-0.338455040824882	-9.08278809344033
R3_S20_6453	-8.22185021944381	-6.86624347475314	-3.83057515668568	-9.03239359311537	-10.4562854050563	-9.02188073059104	-7.53211799282323	-2.81643841222092	-11.1441974920877	-0.38879827749864	-9.22149638163173
R3_S21_6385	-8.14910116619838	-6.30933272117162	-4.27036203042179	-10.9662831222702	-10.2083251691408	-10.4801639122483	-8.25409142936082	-3.17235815495275	-11.1567697223308	-0.297283426725021	-9.30365227277383
R3_S25_6375	-7.75471017778256	-5.72975320951559	-3.86942844632631	-10.7323256254664	-9.22603238256012	-9.40923241785491	-7.71944192174432	-3.01919606021234	-10.5602817840505	-0.370687277447771	-8.82299166057443
R3_S27_6465	-8.3346400161592	-6.3845251410201	-3.68705153675094	-10.1544949659102	-9.85803000557338	-9.48044263774482	-7.25592161427755	-3.57813037961837	-11.1889949486891	-0.300737581679686	-9.47931557621264
R3_S29_6376	-9.05279299288802	-6.46421938625815	-3.79966846979572	-9.97892628123442	-9.97645956027135	-9.56697812601793	-7.57560708164019	-2.42781046529224	-10.9045666417896	-0.478691088107092	-8.67928417491203
R3_S3_6383	-8.99520898323993	-6.11457426658224	-3.72636205510014	-10.5240811796516	-9.56025320652013	-10.4954870120339	-7.43302738177053	-3.76014441007392	-10.9102213285774	-0.281902952720817	-8.51045985788361
R3_S31_6430	-8.8833053113316	-5.8708544941426	-3.92393795058265	-10.1125801054423	-9.67386735933884	-10.0659925767846	-7.6925568933635	-2.9673836345397	-10.3433996383006	-0.366021835644471	-8.66179017493607
R3_S32_6371	-8.42070972804778	-6.33603988148372	-3.84668148222362	-10.3785929378414	-10.6331926943607	-9.42609764307903	-7.86598030676535	-2.56572884705769	-11.0724070448557	-0.441601843856465	-8.70863433972386
R3_S35_6427	-8.4278250218325	-6.03436885333447	-3.79895207427717	-9.39402719570011	-10.1089117436282	-9.73999678877656	-7.49404630907569	-3.16940940550026	-10.7325086725322	-0.345352153514245	-8.94404712583588
R3_S37_6420	-8.04044481173194	-6.60392148231841	-4.24143610009947	-10.0847841365931	-9.32735111803861	-8.81395501556213	-7.21506126016913	-2.85441543363893	-10.669039260472	-0.362499943308138	-7.66711047428923
R3_S38_6388	-8.47659387450839	-6.31149925559748	-3.89141212626324	-9.76702305246362	-10.0641355986813	-9.7886819335934	-7.79293140659475	-2.46246396207326	-10.8993738282554	-0.464214037026961	-8.5495868826623
R3_S4_6463	-9.25565048836438	-5.98490379268425	-4.07894663877979	-10.1914543734656	-10.2473716968736	-9.79870003821888	-8.00954778524068	-3.03507672240366	-11.4828602962368	-0.334818997225109	-9.38925154230304
R3_S40_6416	-11.1856278161663	-6.26631125373703	-4.0282575104876	-9.5004378677065	-10.0575738692619	-10.1410989095848	-7.37778314722216	-2.84540431925105	-10.8089993463295	-0.368958197351585	-8.93945723504925
R3_S43_6421	-9.97261461688899	-6.22335920252394	-4.05600699476443	-10.2321013260646	-9.58798511969577	-9.24206284189479	-7.39631358781405	-2.65956642881303	-10.2218591593384	-0.405839448441076	-9.05425245757687
R3_S6_6418	-8.05202676923165	-6.20479467717113	-3.39345153189511	-10.1386402918569	-10.4109785861395	-10.0314866861225	-7.32341960986906	-2.4697601840068	-11.5274549187582	-0.525586770726903	-8.3083228647619
R3_S8_6382	-8.44107322986708	-6.33690049272866	-4.17160220709365	-10.4764050785011	-10.2901838972945	-10.5474496157479	-7.93965525085342	-2.50421146708505	-11.3610613487836	-0.424592439278673	-9.55636349315638
