feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__UBA1390_sp002305315	Category	PL	2.37659624610581	0.213194138596857	93	49	1.41445665916117e-18	2.12168498874175e-15
s__Phocaeicola_sp900552645	Run	R3-Nextseq	2.53419187115318	0.307556214060054	93	75	1.3972160697977e-12	1.04791205234827e-09
s__Massiliomicrobiota_sp002160815	Category	PL	2.23958730298542	0.320323182746101	93	74	5.8187535495451e-10	2.90937677477255e-07
s__Parabacteroides_B_pacaensis	Run	R3-Nextseq	1.34451693816364	0.207976117863634	93	75	5.2959166085278e-09	1.98596872819792e-06
s__Bacteroides_sp002471185	Run	R2-Hiseq	2.04757779651908	0.329336957288274	93	69	1.69549291645319e-08	4.88179078064638e-06
s__Dysosmobacter_sp000403435	Run	R2-Hiseq	2.76695250597485	0.446431546515986	93	64	1.95271631225855e-08	4.88179078064638e-06
s__JAAYEB01_sp012728995	Run	R2-Hiseq	1.97337173645398	0.321748258034669	93	63	2.4964385485506e-08	5.34951117546558e-06
s__Prevotella_hominis	Run	R2-Hiseq	2.45328085488726	0.408112750351342	93	64	3.99138519868374e-08	7.48384724753201e-06
s__Massiliomicrobiota_sp002160865	Category	PL	1.68199271185921	0.280328540447508	93	57	4.68800593460279e-08	7.81334322433797e-06
s__Prevotella_sp900554045	Run	R2-Hiseq	2.6512236462734	0.465140678612709	93	61	1.60033133512555e-07	2.40049700268832e-05
s__Sellimonas_intestinalis	Category	PL	2.49350952435932	0.440009077756618	93	63	1.94690474208658e-07	2.65487010284534e-05
s__Fusobacterium_A_sp900764925	Run	R2-Hiseq	2.06101811125445	0.368003598828554	93	70	2.46035769440799e-07	3.07544711800998e-05
s__Dysgonomonas_mossii	Run	R2-Hiseq	2.35182365167168	0.427291858600599	93	70	3.57718863386424e-07	3.91983491342617e-05
s__Prevotella_sp002933775	Run	R2-Hiseq	2.11583247407374	0.384522103093361	93	64	3.65851258586442e-07	3.91983491342617e-05
s__Hungatella_A_hathewayi_A	Category	PL	1.70390410735015	0.321820661470344	93	77	9.19141943508457e-07	9.19141943508457e-05
