feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Parabacteroides_B_pacaensis	Run	R3-Nextseq	2.15315623212117	0.189694060165239	89	65	1.03382003203875e-18	1.44528040479017e-15
s__Dorea_formicigenerans	Run	R2-Hiseq	2.23339559081327	0.255461081897234	89	57	2.33297859921985e-13	1.63075204085467e-10
s__Parabacteroides_B_pacaensis	Run	R2-Hiseq	1.86767694873559	0.23648087060891	89	65	9.08603450737183e-12	4.23409208043527e-09
s__UBA12481_sp903851365	Run	R2-Hiseq	1.94603575327636	0.275931451737677	89	55	4.95747625476676e-10	1.73263795104098e-07
s__Proteiniphilum_acetatigenes	Run	R3-Nextseq	1.69312448674916	0.255447417168557	89	57	2.95546248758585e-09	8.26347311529003e-07
s__OM05_12_sp900760755	Run	R3-Nextseq	2.28564215863676	0.407456254952247	89	62	2.47872781991623e-07	5.77543582040481e-05
s__Prevotella_sp002371715	Run	R2-Hiseq	1.47970112373503	0.270779536416437	89	61	4.55090512481958e-07	8.18681866003481e-05
s__Prevotella_sp002371715	Run	R3-Nextseq	1.17928927486315	0.217206869799809	89	61	5.27048411590224e-07	8.18681866003481e-05
s__UBA11471_sp900547555	Run	R2-Hiseq	2.41320970357687	0.441621470112751	89	59	4.83685420071562e-07	8.18681866003481e-05
s__Fusobacterium_A_sp900764925	Run	R2-Hiseq	1.87470308727003	0.34699066426941	89	62	6.28727116518817e-07	8.78960508893306e-05
s__BHEP01_sp003851245	Run	R2-Hiseq	1.89253982485286	0.354034636240218	89	62	7.72472209161589e-07	9.81741953098092e-05
s__Azonexus_sp009469585	Run	R2-Hiseq	2.53431895241813	0.481060497629685	89	68	1.02547015897981e-06	0.000119467273521148
s__Azonexus_sp009469585	Run	R3-Nextseq	2.01288240710618	0.385884569629316	89	68	1.26829062815894e-06	0.000135733247088329
s__Prevotella_sp000436915	Run	R2-Hiseq	2.40057789735536	0.461711050015326	89	61	1.35927429129943e-06	0.000135733247088329
s__Dysgonomonas_mossii	Run	R3-Nextseq	1.91077772762511	0.371949540433784	89	72	1.74996242880226e-06	0.00016309649836437
s__Prevotella_sp900315765	Run	R2-Hiseq	2.57060200091352	0.500702974797821	89	64	1.87091415936679e-06	0.000163471124674673
s__Bacteroides_sp014385165	Run	R3-Nextseq	-0.622448203435636	0.123070906787162	89	89	2.41363604150802e-06	0.000167264064514692
s__Chitinophaga_varians	Run	R2-Hiseq	1.79165840586497	0.354508909360221	89	58	2.45008144936572e-06	0.000167264064514692
s__Chryseobacterium_sp002835665	Run	R2-Hiseq	1.87575678904001	0.371609173838743	89	52	2.51255032532799e-06	0.000167264064514692
s__Prevotella_sp003043945	Run	R3-Nextseq	1.11466292231493	0.219818057916384	89	71	2.28857669364471e-06	0.000167264064514692
s__Proteiniphilum_acetatigenes	Run	R2-Hiseq	1.6176434513073	0.318451866938781	89	57	2.20816734745734e-06	0.000167264064514692
s__Dysosmobacter_welbionis	Run	R3-Nextseq	-1.23332372258515	0.247273068297957	89	89	3.19580744101544e-06	0.000203079036479072
s__Chitinophaga_varians	Run	R3-Nextseq	1.39399911601727	0.284370715517643	89	58	4.4952872520981e-06	0.000273235286018832
s__Robinsoniella_sp900539655	Run	R3-Nextseq	2.46028559411054	0.504201345042597	89	67	4.91403924382439e-06	0.000280542490080806
s__UBA7332_sp002471225	Run	R2-Hiseq	1.80215373257114	0.369118912551918	89	59	5.01685425752515e-06	0.000280542490080806
s__Phocaeicola_sp900552645	Run	R2-Hiseq	1.69188674225084	0.352196347905526	89	65	6.89278626744977e-06	0.000370619815457492
s__Prevotella_sp002251365	Run	R2-Hiseq	2.31065904636815	0.487223137646584	89	65	8.75655041841475e-06	0.000453394721664586
s__Phocaeicola_sp002161765	Run	R2-Hiseq	1.42732324191843	0.302603426776825	89	63	9.71501727168599e-06	0.000485056933779179
s__Prevotella_sp000436915	Run	R3-Nextseq	1.73627533531303	0.370363334146415	89	61	1.04087819469472e-05	0.000501775074545938
s__Butyrivibrio_A_sp900543865	Run	R3-Nextseq	1.31749293807391	0.291084308063131	89	73	1.93913111836434e-05	0.000903635101157784
s__JJ008_sp002342205	Run	R2-Hiseq	1.71294182658316	0.379266999275694	89	58	2.08140133406113e-05	0.000938644859683053
s__Butyricimonas_faecihominis	Run	R3-Nextseq	1.13332024361102	0.253700810831076	89	80	2.42571991077584e-05	0.0010597363860202
s__Gemmiger_variabilis_C	Category	PL	-1.81846601679787	0.411126682846813	89	53	2.9987371911328e-05	0.00127037411915262
s__UMGS687_sp900545735	Run	R2-Hiseq	2.29326223534746	0.522854488931486	89	62	3.37483257413095e-05	0.00138765174665737
s__Enterocloster_clostridioformis_A	Run	R3-Nextseq	-0.625993966097335	0.144147228512192	89	89	3.86889375077958e-05	0.00154534670388281
s__Prevotella_disiens	Run	R3-Nextseq	0.803637724454659	0.18854986742996	89	78	5.21365432287267e-05	0.00202463576204889
s__Sporolactobacillus_sp900543345	Run	R2-Hiseq	1.59684774382399	0.384608320755422	89	62	7.9391203339425e-05	0.00299970006131125
s__Christensenella_minuta	Category	PL	1.0958488292744	0.269553520370499	89	71	0.000110274993746795	0.00395293439123127
s__Roseburia_inulinivorans	Category	PL	-1.33233004461266	0.327497905259387	89	57	0.000108962213591209	0.00395293439123127
s__UBA3263_sp001689615	Run	R2-Hiseq	1.60488527578989	0.397549369920481	89	65	0.000121276994270247	0.00423863094974512
s__Marinilabilia_salmonicolor	Run	R2-Hiseq	1.97550052128335	0.490980608858049	89	69	0.000126266024804272	0.00430536347991153
s__Parabacteroides_sp003473295	Run	R2-Hiseq	1.09650985551775	0.273046274091314	89	73	0.000131155193749109	0.00436559430622036
s__Flavonifractor_sp000508885	Run	R3-Nextseq	-0.757946588087238	0.189459121361161	89	89	0.000134401407170439	0.0043696085400994
s__Lawsonibacter_sp902363045	Run	R3-Nextseq	-0.715469605534066	0.18035366871785	89	89	0.000151368940634644	0.00480940406834619
s__UBA1394_sp900554975	Run	R2-Hiseq	1.64154337156566	0.417031484621399	89	60	0.000168727865492878	0.00524181235464542
s__Tidjanibacter_inops_A	Category	PL	-1.61251983862724	0.409353489366301	89	59	0.00017263969827309	0.00524674561273434
s__Agathobacter_sp900550845	Category	PL	-1.3435213834977	0.345824814358838	89	76	0.000207481242869269	0.00599015722640418
s__Dorea_formicigenerans	Run	R3-Nextseq	2.09210792984139	0.280944113708666	89	57	0.000214908809486747	0.00599015722640418
s__Duncaniella_dubosii	Category	PL	-0.982907228311644	0.254072649544309	89	60	0.000221171142975564	0.00599015722640418
s__Odoribacter_laneus	Run	R2-Hiseq	1.9835241444366	0.512987068543232	89	65	0.000218239000215503	0.00599015722640418
s__RC9_sp900546445	Run	R2-Hiseq	1.8288061394274	0.473559251534632	89	64	0.000222809853914891	0.00599015722640418
s__UMGS687_sp900545735	Run	R3-Nextseq	3.41938236947713	0.475747570668577	89	62	0.000203733893275698	0.00599015722640418
s__Gracilibacillus_orientalis	Run	R2-Hiseq	1.49624018388006	0.388864415099391	89	67	0.000229932031254986	0.0060649996168768
s__Prevotella_sp900554045	Run	R2-Hiseq	1.36349537955617	0.355893157844313	89	69	0.000248696845158721	0.00643848499133133
s__Chryseobacterium_sp002835665	Run	R3-Nextseq	1.12446717444598	0.298087759904692	89	52	0.000298319051960768	0.00758272790256642
s__Negativibacillus_massiliensis	Run	R2-Hiseq	1.68277238443428	0.447965154840585	89	60	0.000319187779710207	0.00791374153598567
s__QAMI01_sp900551915	Run	R3-Nextseq	1.09265188019278	0.291423673023428	89	74	0.000322663281510146	0.00791374153598567
s__Flavihumibacter_solisilvae	Run	R2-Hiseq	1.87724642870935	0.504148029026736	89	65	0.000358596336348389	0.00849690980025504
s__Oxalobacter_sp900760095	Run	R3-Nextseq	-0.843395145181062	0.226609593068201	89	89	0.000354458705086689	0.00849690980025504
s__F23_B02_sp004557075	Run	R2-Hiseq	2.00861423688535	0.541933954055426	89	65	0.000373521687788696	0.00870305532547662
s__Alistipes_sp902388705	Run	R2-Hiseq	2.21426848707873	0.59735543075689	89	56	0.000381730492043102	0.00874851193239764
s__Eggerthella_lenta	Run	R3-Nextseq	-0.741443570467564	0.200985050651748	89	89	0.000396119794052533	0.00893186245299098
s__Flavonifractor_sp002159265	Run	R2-Hiseq	2.08357939534817	0.567542831266877	89	65	0.000420703617129801	0.0091897446366791
s__UBA1394_sp900554975	Run	R3-Nextseq	1.22873927018547	0.334523445092518	89	60	0.000418050027530431	0.0091897446366791
s__Marvinbryantia_sp900066075	Run	R2-Hiseq	2.21016220444087	0.602963953821813	89	60	0.000428914905474939	0.00922496981313792
s__JAAYEB01_sp012728995	Run	R3-Nextseq	0.956750329088745	0.264329373430409	89	67	0.000500478615407078	0.0106010470354408
s__Dysgonomonas_mossii	Run	R2-Hiseq	1.66794547839013	0.463688483802529	89	72	0.000539358556083733	0.0112540785284337
s__Fusobacterium_A_sp900764925	Run	R3-Nextseq	2.43442229517061	0.388525482843013	89	62	0.000576790617935357	0.0116862794764294
s__JAAYEB01_sp012728995	Run	R2-Hiseq	1.17967972767169	0.329524500144499	89	67	0.00057108060134245	0.0116862794764294
s__Bacteroides_sp002471185	Run	R3-Nextseq	0.982361521068885	0.275868449041737	89	74	0.000608154210287001	0.0121457083711604
s__Lachnoclostridium_B_sp900066765	Category	PL	-2.00623360123667	0.562924348930209	89	51	0.00061800764187916	0.0121686575119305
s__Prevotella_sp003043945	Run	R2-Hiseq	0.966682969768111	0.274034757157631	89	71	0.000679007075828613	0.0131840540556722
s__UBA12481_sp903851365	Run	R3-Nextseq	1.58551126707556	0.26700900713833	89	55	0.000731854889732049	0.0140155224088412
s__Zag111_sp900555325	Run	R2-Hiseq	1.39570404319248	0.399149127850094	89	70	0.000751469070039396	0.0141966724312848
s__UMGS1071_sp900541905	Run	R3-Nextseq	1.64139935443791	0.470115904847474	89	57	0.000764412672061194	0.0142486522072207
s__Mediterraneibacter_sp900541505	Run	R3-Nextseq	1.34211475021099	0.385981826106032	89	70	0.000801043722490377	0.0147349884742309
s__Parabacteroides_sp900548175	Run	R2-Hiseq	0.662349911819081	0.191488755565579	89	88	0.000849936525412189	0.0154313150977434
