2023-04-13 13:20:08 INFO::Writing function arguments to log file
2023-04-13 13:20:08 DEBUG::Function arguments
2023-04-13 13:20:08 DEBUG::Output folder: /ebio/abt3_projects/Christensenella_CM20/metagenomics/DA_analysis/CM20_Maaslin_species_M_treat
2023-04-13 13:20:08 DEBUG::Min Abundance: 0.000000
2023-04-13 13:20:08 DEBUG::Min Prevalence: 0.500000
2023-04-13 13:20:08 DEBUG::Normalization: TSS
2023-04-13 13:20:08 DEBUG::Transform: LOG
2023-04-13 13:20:08 DEBUG::Analysis method: LM
2023-04-13 13:20:08 DEBUG::Max significance: 0.100000
2023-04-13 13:20:08 DEBUG::Random effects: Batch
2023-04-13 13:20:08 DEBUG::Fixed effects: Category,Run
2023-04-13 13:20:08 DEBUG::Correction method: BH
2023-04-13 13:20:08 DEBUG::Standardize: TRUE
2023-04-13 13:20:08 DEBUG::Cores: 1
2023-04-13 13:20:08 INFO::Verifying options selected are valid
2023-04-13 13:20:08 INFO::Determining format of input files
2023-04-13 13:20:08 INFO::Input format is data samples as columns and metadata samples as rows
2023-04-13 13:20:08 DEBUG::Transformed data so samples are rows
2023-04-13 13:20:08 DEBUG::A total of 89 samples were found in both the data and metadata
2023-04-13 13:20:08 DEBUG::Reordering data/metadata to use same sample ordering
2023-04-13 13:20:08 INFO::Formula for random effects: expr ~ (1 | Batch)
2023-04-13 13:20:08 INFO::Formula for fixed effects: expr ~  Category + Run
2023-04-13 13:20:08 INFO::Filter data based on min abundance and min prevalence
2023-04-13 13:20:08 INFO::Total samples in data: 89
2023-04-13 13:20:08 INFO::Min samples required with min abundance for a feature not to be filtered: 44.500000
2023-04-13 13:20:08 INFO::Total filtered features: 0
2023-04-13 13:20:08 INFO::Filtered feature names from abundance and prevalence filtering:
2023-04-13 13:20:08 INFO::Total filtered features with variance filtering: 0
2023-04-13 13:20:08 INFO::Filtered feature names from variance filtering:
2023-04-13 13:20:08 INFO::Running selected normalization method: TSS
2023-04-13 13:20:08 INFO::Applying z-score to standardize continuous metadata
2023-04-13 13:20:08 INFO::Running selected transform method: LOG
2023-04-13 13:20:09 INFO::Running selected analysis method: LM
2023-04-13 13:20:09 INFO::Fitting model to feature number 1, s__Acetatifactor_sp900066565
2023-04-13 13:20:09 INFO::Fitting model to feature number 2, s__Acutalibacter_sp900543305
2023-04-13 13:20:09 INFO::Fitting model to feature number 3, s__Acutalibacter_sp900543555
2023-04-13 13:20:09 INFO::Fitting model to feature number 4, s__Acutalibacter_sp900755895
2023-04-13 13:20:09 INFO::Fitting model to feature number 5, s__AF33_28_sp003477885
2023-04-13 13:20:09 INFO::Fitting model to feature number 6, s__Agathobacter_sp900550845
2023-04-13 13:20:10 INFO::Fitting model to feature number 7, s__Agathobacter_sp900557055
2023-04-13 13:20:10 INFO::Fitting model to feature number 8, s__Agathobaculum_butyriciproducens
2023-04-13 13:20:10 INFO::Fitting model to feature number 9, s__Agathobaculum_sp900291975
2023-04-13 13:20:10 INFO::Fitting model to feature number 10, s__Alistipes_A_ihumii
2023-04-13 13:20:10 INFO::Fitting model to feature number 11, s__Alistipes_communis
2023-04-13 13:20:10 INFO::Fitting model to feature number 12, s__Alistipes_finegoldii
2023-04-13 13:20:11 INFO::Fitting model to feature number 13, s__Alistipes_onderdonkii
2023-04-13 13:20:11 INFO::Fitting model to feature number 14, s__Alistipes_putredinis
2023-04-13 13:20:11 INFO::Fitting model to feature number 15, s__Alistipes_senegalensis
2023-04-13 13:20:11 INFO::Fitting model to feature number 16, s__Alistipes_shahii
2023-04-13 13:20:11 INFO::Fitting model to feature number 17, s__Alistipes_sp900021155
2023-04-13 13:20:11 INFO::Fitting model to feature number 18, s__Alistipes_sp900290115
2023-04-13 13:20:12 INFO::Fitting model to feature number 19, s__Alistipes_sp900541585
2023-04-13 13:20:12 INFO::Fitting model to feature number 20, s__Alistipes_sp900546065
2023-04-13 13:20:12 INFO::Fitting model to feature number 21, s__Alistipes_sp902363575
2023-04-13 13:20:12 INFO::Fitting model to feature number 22, s__Alistipes_sp902388705
2023-04-13 13:20:12 INFO::Fitting model to feature number 23, s__Alloprevotella_tannerae
2023-04-13 13:20:12 INFO::Fitting model to feature number 24, s__Amedibacillus_dolichus
2023-04-13 13:20:13 INFO::Fitting model to feature number 25, s__Amulumruptor_caecigallinarius
2023-04-13 13:20:13 INFO::Fitting model to feature number 26, s__An92_sp900199495
2023-04-13 13:20:13 INFO::Fitting model to feature number 27, s__Anaerobutyricum_soehngenii
