feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acetate	Extraction_round	E2	-0.0407623757511231	0.0187146422543655	93	93	0.0321839516698562	0.241379637523922
Butyrate	Extraction_round	E2	0.140769617372136	0.064578385401399	93	93	0.0320660464375535	0.241379637523922
Butyrate	Extraction_round	E3	0.14334421790747	0.0774771274195737	93	93	0.0678039695476578	0.281571865953815
Valerate	Extraction_round	E3	0.279052283584858	0.154894267697085	93	92	0.0750858309210173	0.281571865953815
Acetate	Extraction_round	E3	-0.0373557198439703	0.0224489361655223	93	93	0.0998067211492019	0.299420163447606
Butyrate	Category	Live	0.0605381187065164	0.0522126007352281	93	93	0.249556189711507	0.548183450341934
Propionate	Extraction_round	E2	0.068619254746559	0.0599769965864718	93	93	0.255818943492903	0.548183450341934
Caproate	Category	Live	-0.108097133404135	0.131645243928912	93	91	0.413899655038127	0.58018321823053
Caproate	Extraction_round	E2	0.150980752793473	0.162078699671459	93	91	0.354203247767882	0.58018321823053
Propionate	Extraction_round	E3	0.0631124827693492	0.0719480207516589	93	93	0.382868615463188	0.58018321823053
Valerate	Category	Live	-0.0843699378948827	0.105348808071424	93	92	0.425467693369055	0.58018321823053
Valerate	Extraction_round	E2	0.0724680204087607	0.129243889246633	93	92	0.576445974420592	0.72055746802574
Caproate	Extraction_round	E3	0.0764044035486912	0.194337308138933	93	91	0.695182420115105	0.802133561671275
Acetate	Category	Live	-0.00223679195883986	0.0151508897727289	93	93	0.882985068571285	0.882985068571285
Propionate	Category	Live	-0.00785668553914032	0.0485383534625177	93	93	0.871800376967956	0.882985068571285
