feature	Acetate	Butyrate	Caproate	Propionate	Valerate
5798	-0.605574427533809	-3.31088241997978	-9.49399098984538	-2.07276972022036	-8.41378302616387
5799	-0.540965533365725	-3.57304001817017	-9.22127740871669	-2.13930587236315	-10.9307518959012
5800	-0.541628831095423	-3.60927613715415	-9.54701290628599	-2.14054925902973	-8.41279142447452
5809	-0.566952432330117	-3.55046630183489	-9.38644221469726	-2.09539346819062	-7.92649669398893
5810	-0.464083082663924	-3.74700396557038	-10.2418829257496	-2.34272142261781	-8.57376979449528
5811	-0.458138235014672	-3.93410400532796	-10.5425302096686	-2.29846679562149	-8.53039053826524
5812	-0.35965539168089	-3.45244797671573	-10.5025710601104	-2.97828874424336	-9.188084303726
5813	-0.489373887341741	-3.42394950407627	-9.92355968426105	-2.3926909055902	-8.36333817320165
5814	-0.527976483904255	-3.49499457459875	-9.55309926656152	-2.23132539243528	-8.16523800293596
5846	-0.578982911090692	-3.4654254429551	-8.69496164569846	-2.08752317944755	-8.7423676214588
5847	-0.491046739540597	-3.8948798372582	-9.19708737360939	-2.20675506862284	-8.4086904966199
5848	-0.474676564997787	-3.78111319574503	-10.1356566415877	-2.29392164128646	-8.46864458944892
5849	-0.465529067463654	-3.81590639728795	-9.58597889452229	-2.32613836774448	-7.94083773812278
5850	-0.574071796702777	-3.46383572374054	-9.73608447301695	-2.09906049348265	-8.34898899525368
5851	-0.491211461992826	-3.54708625459222	-9.3218171251765	-2.33161570549933	-8.48123392114378
5852	-0.535309716211617	-3.4664658838195	-9.67412136842443	-2.21621978706773	-8.33631420146211
5886	-0.612495669913859	-3.31620811755485	-9.08428986902664	-2.05729412810674	-8.18760520829205
5887	-0.546581138568492	-2.90926031384775	-9.72359113022003	-2.49881350487746	-7.91618286684536
5888	-0.545067244599808	-3.07178578096262	-10.9775636594143	-2.38219403474123	-8.20249844164362
5889	-0.554033147460632	-3.73350173327906	-11.9775636594143	-2.05783860672778	-8.14580525764908
5890	-0.64831159308085	-3.34644986972873	-8.79596391568553	-1.96373095660174	-7.63111959265008
5891	-0.62670141550879	-3.00210192722914	-9.35007351681407	-2.18264555162611	-7.44909026153881
5893	-0.706112639012291	-3.14722687096344	-10.0541560348908	-1.89931607413382	-7.60223018317902
5916	-0.486383116587541	-3.93728656821119	-7.67308932223512	-2.23756922785243	-7.97743615016549
5917	-0.502904137231417	-3.56338697158559	-9.37017429687471	-2.28415736634835	-8.42484052814794
5949	-0.491250940361626	-3.28382355585224	-11.9775636594143	-2.45621598740144	-8.08148421393081
5950	-0.58576182444159	-3.53110309999615	-9.36189975037779	-2.05918375166253	-7.44778624126547
5951	-0.625959079617759	-3.10001282041106	-9.68388066371447	-2.12054404651147	-7.8929666898556
5952	-0.520239452788063	-3.26733441650691	-10.31976688732	-2.3647751623961	-7.98124828881553
5953	-0.607049389821459	-3.0547681044761	-9.81075307853567	-2.20330386979528	-7.68334018120483
5954	-0.43595635624014	-3.90534007921237	-10.0200427049854	-2.38778041073018	-8.95226279060284
6295	-0.518251580044918	-3.54431330206881	-9.64922553976535	-2.24351534420257	-8.09738203851912
6297	-0.406213068985394	-3.68627442581323	-10.1865517927361	-2.60835757490781	-8.44346388798573
6299	-0.473114162153424	-3.85382726025998	-9.04872929843462	-2.28745684523971	-8.07699842736256
6300	-0.553230727864428	-3.57080668897171	-10.8288778075082	-2.11337155683441	-8.53464226213219
6303	-0.48348201115546	-3.85061674754341	-9.73823517513395	-2.2486043979426	-8.02697628633847
6304	-0.440696590223955	-3.76737766559884	-9.6151778440089	-2.4334054153625	-8.20763536598611
6306	-0.430608193370858	-3.72427544355772	-10.0386487402706	-2.48936712985508	-8.2201962034394
6307	-0.441676046179718	-3.69420252543286	-10.3562922867533	-2.4495293586772	-8.56983590501092
6308	-0.506377444865187	-3.48539384220529	-9.35509877742636	-2.31939125887277	-7.68917996155844
6309	-0.475671022906932	-3.81087250190292	-9.60186798458733	-2.29211827918664	-7.91242262973466
6310	-0.43987497242848	-3.78039942338248	-9.72764102655482	-2.42458293797181	-8.59684051334264
6312	-0.432271341409678	-3.78689413773067	-9.82032058163782	-2.46541072730891	-7.86656303683516
6313	-0.46692512868355	-4.10513422827036	-10.0938840075685	-2.21389700500943	-9.02370291533476
6315	-0.434456034967314	-3.80240913680262	-8.99885650737582	-2.44056117358834	-8.83697950521404
6391	-0.638783761794747	-1.93416892764311	-9.33431932642548	-3.44154014999258	-8.6547115472305
6392	-0.441181216570773	-2.3404202390682	-9.37737030265366	-3.97737903808045	-9.93075189590118
6395	-0.605073960869172	-2.0683351556454	-10.4018985304165	-3.306987193351	-8.73453214121288
6396	-0.754969370581467	-1.92622879940172	-9.39250063191347	-2.83888804733095	-8.34825368852077
6397	-0.714904719755572	-2.28464480446715	-9.54303829908309	-2.48289719091469	-7.56158455041459
6398	-0.801545792663264	-1.84049275330094	-9.18180627734886	-2.84368664042046	-7.37766210573633
6399	-0.757657422340053	-2.01100623301317	-8.70017649696113	-2.72249155803493	-7.25929907400526
6400	-0.595009304852321	-2.35611115906926	-9.46797672156098	-2.87109439583313	-7.78060290607462
6402	-0.770727022414663	-1.931645849822	-9.53867163444506	-2.76467556543004	-8.26222312749521
6403	-0.680220708144038	-2.22381919483047	-9.01818089981384	-2.68825439854788	-7.70981065535508
6404	-0.568916220335764	-2.60014458253774	-9.40599755939552	-2.68776062868802	-7.86925564593855
6405	-0.707530755312732	-2.1230557975456	-9.46680936361074	-2.72256451077045	-7.59995722004301
6406	-0.823626925026618	-1.7246689400095	-9.89105754427735	-2.98623984943154	-7.59806020023552
6408	-0.662000594728142	-2.315276442063	-9.39649746657298	-2.63063946312954	-7.92378406207957
6409	-0.695487529422421	-1.99054137931126	-9.52310031393215	-3.00601163609569	-7.6393608328437
6410	-0.653906607631889	-2.38473184537334	-8.53130647783804	-2.60716582580963	-7.34788429725949
6432	-0.488294735521661	-4.1795013723069	-9.70181178607812	-2.13249675678412	-8.54292051320003
6433	-0.428165168149143	-3.97498387474075	-9.48346476844302	-2.40221462403327	-8.57101473937679
6434	-0.453081280551601	-3.64013625824422	-8.64899270065738	-2.44130416396718	-8.53059859880098
6435	-0.400602352726401	-3.79757163409515	-9.13702643423076	-2.59543263939762	-8.2407694974204
6436	-0.579963685359058	-3.75295677423099	-8.78548211505654	-1.99594031040064	-8.01144361822505
6437	-0.587238279757824	-3.60738640698158	-8.40161990586841	-2.03110159589084	-7.72981169905982
6438	-0.407200500283962	-4.33008787380551	-8.92017999502254	-2.3856335211167	-8.49494240097612
6439	-0.439324375403015	-4.09401499220555	-9.46259627413677	-2.31740931335693	-9.02590870937603
6441	-0.372690417893546	-4.25832640315653	-10.3385970389089	-2.54161911007238	-8.43799731191106
6442	-0.481098196343884	-3.72192799344171	-8.67435078685256	-2.31904869608957	-7.66278479608762
6443	-0.625176840412302	-3.57660742875813	-8.28883724240795	-1.93930995171883	-8.00093201563801
6444	-0.524125622666178	-3.82562666365687	-8.80149491684128	-2.13223361508234	-8.06109821106016
6445	-0.551676566582858	-3.60080517804563	-9.07272405944486	-2.11929579117147	-8.22871156648152
6446	-0.634828324553663	-3.55368397238024	-8.6552092608305	-1.92284282373933	-7.76162478662813
6448	-0.43042657118089	-3.66993114436132	-8.82677341858117	-2.52275415341186	-8.29774818785502
6450	-0.588053270664064	-3.69489823904231	-8.80169510756688	-1.99375869235272	-7.88986279648935
6471	-0.538575156250918	-3.94814168896274	-8.82101210257477	-2.05804220850468	-7.82525533320411
6472	-0.596573988853739	-3.81583362698308	-8.91538824148321	-1.93167819998329	-8.16991381980566
6473	-0.594280926721646	-3.61353471214135	-8.57380641003357	-2.00720557978214	-7.78072733773708
6475	-0.474089515683034	-3.79915242505839	-9.59722327135624	-2.29623828461718	-8.21781784229012
6476	-0.421356640402214	-4.46457766183168	-8.75261895266087	-2.30026060280183	-8.5650779277316
6477	-0.42769239920136	-3.97042901990489	-10.1513714951253	-2.4013271209972	-8.59502183437235
6478	-0.504810469883753	-4.29699285633902	-8.58360665531062	-2.06247849775868	-8.72434734504312
6479	-0.447718630749801	-3.85892780669052	-9.27926590652758	-2.3673905816076	-8.65943774871129
6481	-0.608586843195245	-3.36337158433185	-8.95947705473538	-2.05801249623835	-7.69149918300966
6483	-0.5552714409937	-3.77987048509614	-9.09481851399941	-2.05892359499994	-7.68937755355022
6484	-0.483592882857388	-3.97423026161858	-8.74425356821782	-2.22514233035349	-7.65262584489959
6485	-0.609320349789344	-3.40637112730325	-8.57410778578389	-2.03900429550699	-7.88708810693284
6486	-0.514463329856861	-3.52415229836639	-9.09720354760523	-2.26553139706444	-8.27566958229887
6487	-0.536984517631594	-3.65872891269601	-9.0354854952066	-2.13913696112963	-8.5385604493493
6489	-0.475600052830472	-4.25949984318058	-9.60869129243515	-2.15324259277598	-8.62454768134636
6490	-0.64151891826861	-3.40348020544435	-8.82777583766624	-1.95168111606526	-8.06171030011596
