feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Butyrate	Category	Live	-0.406330579284625	0.119568907086107	90	90	0.00105486817681104	0.0158230226521656
Acetate	Category	Live	0.0376438132879884	0.0238770813094205	90	90	0.118790169928764	0.356370509786292
Caproate	Extraction_round	E3	0.33032625022003	0.185198506743468	90	90	0.0780766316991276	0.356370509786292
Propionate	Category	Live	0.145749365045587	0.075983352979611	90	90	0.0586110572430046	0.356370509786292
Propionate	Extraction_round	E3	0.191878347258867	0.117192175887573	90	90	0.10528470415223	0.356370509786292
Acetate	Extraction_round	E2	0.0232904886409975	0.0283417112669105	90	90	0.413568582554642	0.733170665193653
Acetate	Extraction_round	E3	-0.0265144717772896	0.0363081085300638	90	90	0.467214251040552	0.733170665193653
Butyrate	Extraction_round	E2	-0.0785351808302149	0.142042787166084	90	90	0.581832151869731	0.733170665193653
Butyrate	Extraction_round	E3	-0.0996739603173559	0.182579398639543	90	90	0.586536532154923	0.733170665193653
Valerate	Category	Live	-0.0968763466810521	0.11501840033536	90	90	0.401974066350552	0.733170665193653
Valerate	Extraction_round	E2	-0.132751651966569	0.135677503797734	90	90	0.330603506268121	0.733170665193653
Valerate	Extraction_round	E3	-0.114759591378825	0.169675153444253	90	90	0.50063417631298	0.733170665193653
Propionate	Extraction_round	E2	-0.032468490472838	0.0904396798727246	90	90	0.720514198117031	0.831362536288882
Caproate	Category	Live	0.00676608214361956	0.11998878913535	90	90	0.955170501382818	0.955170501382818
Caproate	Extraction_round	E2	0.0142151904154423	0.142837283868624	90	90	0.920968752150488	0.955170501382818
