feature	Acetate	Butyrate	Caproate	Propionate	Valerate
6178	-0.445497797348175	-3.68854987940461	-10.7585808954547	-2.43388745122004	-8.6635346180007
6179	-0.570136739012264	-3.30690621179092	-9.83072976149065	-2.18857413116836	-7.66299451933665
6180	-0.404935358257447	-4.2593323415143	-9.69622907706984	-2.40279998172481	-8.82169768020056
6181	-0.544375156037403	-3.62405459821271	-10.166618532133	-2.12624872697769	-8.25060901579023
6182	-0.628461252039315	-3.63189606000898	-9.09635446138798	-1.91005228634219	-7.77731717515934
6183	-0.588627431690227	-3.31981190217979	-9.31204923420296	-2.12600319162187	-7.89091564074363
6188	-0.465445692769845	-3.38236255652009	-10.2404757521615	-2.50340470346761	-8.5497321134801
6189	-0.527762763549809	-3.9797434681061	-9.63371407772857	-2.06295872165849	-8.70082932547262
6190	-0.488338726359336	-3.75337486156193	-10.4492102998383	-2.25281003463076	-8.65985102193566
6191	-0.452150214212708	-3.66501114230406	-9.57417547199092	-2.42821125489449	-8.33147567532039
6192	-0.477493528010237	-3.89746307349974	-10.6425662458053	-2.23700786087642	-9.02427715864747
6193	-0.671961062396619	-3.50646979951782	-9.33929874221079	-1.83842156505028	-8.29546280605338
6291	-0.545902737842837	-3.58609396054252	-9.21327975814915	-2.13077451445054	-9.15895054583816
6292	-0.486821719608712	-3.59972374210143	-10.2715107454794	-2.31442997102669	-8.91731698927113
6293	-0.614749416600655	-3.0658853139773	-9.74058424292356	-2.17733326004012	-7.5641930399179
6294	-0.422552252140664	-3.41491873114945	-9.67687353571212	-2.67793163588694	-8.55879201417579
6317	-0.550546948476891	-3.57628220690902	-9.13557317983458	-2.13156251181461	-8.19431381813862
6318	-0.498456106902666	-3.44184314978604	-9.81101305829277	-2.35963547250956	-7.90978720299803
6320	-0.556189134329927	-2.89167823863661	-9.32618430528388	-2.46865935420632	-8.40987088465878
6322	-0.456617422221752	-3.72630399380242	-8.27557604690867	-2.40145040021087	-8.26547699546365
6323	-0.506330738014887	-3.79590610682017	-9.26618149603211	-2.18575569439168	-8.60375137790807
6324	-0.410585110704211	-3.69734256825414	-11.2853979302489	-2.57754977377242	-8.55026979153404
6325	-0.472599667884497	-3.69777602819493	-10.3222828452967	-2.32760300898075	-8.78052015935725
