feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
mz786.600317371162_rt1743.564	Metabolomics_Round	R3	5.51620313722079	0.107989796717526	45	45	1.93563424357529e-39	1.93563424357529e-35
mz787.604035413842_rt1743.39	Metabolomics_Round	R3	4.92568352041846	0.111678681682043	45	45	8.25540780109179e-37	4.12770390054589e-33
mz271.188234056067_rt1713.5255	Metabolomics_Round	R3	-3.50524452467099	0.098280102948937	45	45	4.91834567401432e-33	1.63944855800477e-29
mz153.102635301451_rt1719.6485	Metabolomics_Round	R3	2.42386964538959	0.0837023302805486	45	45	2.21799840568032e-29	5.54499601420081e-26
mz786.600666962486_rt1302.633	Metabolomics_Round	R3	7.07430757510075	0.250984411020522	45	45	6.53486113203005e-29	1.30697222640601e-25
mz787.604480821735_rt1302.523	Metabolomics_Round	R3	6.79039725908763	0.266022443244556	45	45	3.35848637240482e-27	4.85706363774496e-24
mz784.583771029782_rt1743.0005	Metabolomics_Round	R3	3.1513937233675	0.12349819411004	45	45	3.39994454642147e-27	4.85706363774496e-24
mz785.587962208675_rt1743.39	Metabolomics_Round	R3	2.92413467581194	0.119741764321549	45	45	1.92208402491063e-26	2.40260503113829e-23
mz760.582469412836_rt1743.564	Metabolomics_Round	R3	4.32309201866287	0.209811341203177	45	45	1.40791017295771e-23	1.56434463661967e-20
mz277.967586643257_rt308.467	Metabolomics_Round	R3	2.6127604211068	0.132369954780495	45	45	7.25107579580259e-23	7.25107579580259e-20
mz466.410408859573_rt1568.9715	Metabolomics_Round	R3	3.19786608409747	0.164151933168476	45	45	1.19290471172023e-22	1.08445882883658e-19
mz180.099663695789_rt304.059	Metabolomics_Round	R3	2.95236000810482	0.155615055475725	45	45	3.24564553007118e-22	2.70470460839265e-19
mz143.081643206604_rt1720.044	Metabolomics_Round	R3	-1.23662019742615	0.0661949745879232	45	45	5.80499364787887e-22	4.46537972913759e-19
mz422.384281059624_rt1570.037	Metabolomics_Round	R3	2.534118340504	0.138771140388945	45	45	1.36280682317078e-21	9.73433445121988e-19
mz165.112923560748_rt1725.01	Metabolomics_Round	R3	-1.58722987661775	0.0883574821846504	45	45	2.51604578802593e-21	1.58771033313719e-18
mz182.057935907659_rt296.9945	Metabolomics_Round	R3	3.73906559072562	0.208198952810133	45	45	2.5403365330195e-21	1.58771033313719e-18
mz782.566787888048_rt1735.046	Metabolomics_Round	R3	4.37442426931474	0.249684891946596	45	45	6.37730907151943e-21	3.75135827736437e-18
mz201.65214627439_rt239.014	Metabolomics_Round	R3	1.77832957682734	0.104262628486949	45	45	1.71717777187079e-20	9.53987651039326e-18
mz600.280665609877_rt1384.8135	Metabolomics_Round	R3	-1.99649061837052	0.11848421402643	45	45	2.68423579178519e-20	1.41275567988694e-17
mz511.439997351372_rt1563.5195	Metabolomics_Round	R3	1.98457671548346	0.123062294130655	45	45	1.33264941590514e-19	6.66324707952569e-17
mz210.657351013165_rt239.041	Metabolomics_Round	R3	1.67150236682448	0.10398734427461	45	45	1.5000176706908e-19	7.14294128900379e-17
mz458.031123520109_rt309.9985	Metabolomics_Round	R3	2.3170918399601	0.14779085613611	45	45	3.69378354825871e-19	1.67899252193578e-16
mz123.091873877571_rt1569.02	Metabolomics_Round	R3	-3.3974204995064	0.21852748446012	45	45	4.99844772370608e-19	2.17323814074178e-16
mz296.637142327371_rt1736.236	Metabolomics_Round	R3	-1.81364651175204	0.117505451564803	45	45	6.48369539807808e-19	2.7015397491992e-16
mz263.085251928573_rt314.75	Metabolomics_Round	R3	1.51266421936208	0.0982811362612247	45	45	7.17165172008008e-19	2.86866068803203e-16
mz784.584394214892_rt1303.053	Metabolomics_Round	R3	4.16776333119319	0.271561607994028	45	45	7.94203186849964e-19	2.9414932846295e-16
mz760.582790553827_rt1302.9215	Metabolomics_Round	R3	5.18314181774276	0.33771287307874	45	45	7.93496780610409e-19	2.9414932846295e-16
