feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
mz786.600317371162_rt1743.564	Metabolomics_Round	R3	5.52230356188378	0.110194106219518	45	45	1.01609763334725e-37	1.01609763334725e-33
mz787.604035413842_rt1743.39	Metabolomics_Round	R3	4.92719521334377	0.123286880818329	45	45	7.28361030381294e-34	3.64180515190647e-30
mz271.188234056067_rt1713.5255	Metabolomics_Round	R3	-3.49939563418232	0.107772927823904	45	45	2.31373611953033e-30	7.71245373176778e-27
mz153.102635301451_rt1719.6485	Metabolomics_Round	R3	2.42750449154384	0.0881480942883197	45	45	1.2755001095676e-27	3.18875027391901e-24
mz786.600666962486_rt1302.633	Metabolomics_Round	R3	7.08096684951113	0.259485281363058	45	45	1.80527089037666e-27	3.61054178075331e-24
mz784.583771029782_rt1743.0005	Metabolomics_Round	R3	3.15335236508599	0.123229718611571	45	45	2.06225976824264e-26	3.43709961373773e-23
mz787.604480821735_rt1302.523	Metabolomics_Round	R3	6.79580215561178	0.279639150820164	45	45	1.4387920244433e-25	2.05541717777614e-22
mz785.587962208675_rt1743.39	Metabolomics_Round	R3	2.95209922317375	0.122642628331375	45	45	2.05943205780075e-25	2.57429007225093e-22
mz760.582469412836_rt1743.564	Metabolomics_Round	R3	4.33809785755782	0.196343775248966	45	45	5.01536726248863e-24	5.57263029165403e-21
mz215.016421008705_rt446.922	Metabolomics_Round	R3	3.33228750585678	0.153861070231404	45	45	1.04936585200275e-23	1.04936585200275e-20
mz277.967586643257_rt308.467	Metabolomics_Round	R3	2.61415327482302	0.133337383659121	45	45	4.02504856376171e-22	3.65913505796519e-19
mz180.099663695789_rt304.059	Metabolomics_Round	R3	3.01481847618866	0.155857970878185	45	45	6.55939134664169e-22	5.46615945553474e-19
mz760.582790553827_rt1302.9215	Metabolomics_Round	R3	5.37672471198484	0.288463332322362	45	45	2.50174949076256e-21	1.92442268520197e-18
mz466.410408859573_rt1568.9715	Metabolomics_Round	R3	3.21524515079499	0.174264677598481	45	45	3.60700625584239e-21	2.57643303988742e-18
mz422.384281059624_rt1570.037	Metabolomics_Round	R3	2.57707234223693	0.144753181736302	45	45	1.29315229653301e-20	8.62101531022008e-18
mz182.057935907659_rt296.9945	Metabolomics_Round	R3	3.76020658378893	0.220889742421757	45	45	6.33143638500218e-20	3.95714774062636e-17
mz782.566787888048_rt1735.046	Metabolomics_Round	R3	4.35698597489253	0.258440999975865	45	45	8.90920284250925e-20	5.24070755441721e-17
mz201.65214627439_rt239.014	Metabolomics_Round	R3	1.78830946663466	0.107459764217363	45	45	1.40452805293419e-19	7.80293362741214e-17
mz165.112923560748_rt1725.01	Metabolomics_Round	R3	-1.59108978127517	0.0992388453302833	45	45	5.15786825021101e-19	2.71466750011106e-16
mz600.280665609877_rt1384.8135	Metabolomics_Round	R3	-1.97716343169576	0.124120397269379	45	45	6.45853123811671e-19	3.22926561905835e-16
mz511.439997351372_rt1563.5195	Metabolomics_Round	R3	1.99538002568834	0.12575742181066	45	45	7.40149328046525e-19	3.52452060974536e-16
mz285.128782603422_rt1735.924	Metabolomics_Round	R3	-1.48642643705638	0.0952316493840859	45	45	1.30555045209484e-18	5.93432023679474e-16
mz143.081643206604_rt1720.044	Metabolomics_Round	R3	-1.23556161627685	0.0794870407639297	45	45	1.50535392682177e-18	6.54501707313815e-16
mz296.637142327371_rt1736.236	Metabolomics_Round	R3	-1.77458249594992	0.115742262407642	45	45	2.4138948259403e-18	1.00578951080846e-15
mz230.096158889627_rt305.288	Metabolomics_Round	R3	-2.19889114840755	0.143620671398552	45	45	2.53457669612489e-18	1.01383067844996e-15
mz210.657351013165_rt239.041	Metabolomics_Round	R3	1.6707267641877	0.109255566754509	45	45	2.64186678343728e-18	1.01523845819916e-15
mz458.031123520109_rt309.9985	Metabolomics_Round	R3	2.28916929295138	0.149859152898597	45	45	2.74114383713773e-18	1.01523845819916e-15
mz263.085251928573_rt314.75	Metabolomics_Round	R3	1.52521028959459	0.100321160739199	45	45	3.22421349600392e-18	1.1515048200014e-15
mz123.091873877571_rt1569.02	Metabolomics_Round	R3	-3.32904586755252	0.227693073389617	45	45	1.21909581078808e-17	4.20377865788992e-15
