feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
mz787.604480821735_rt1302.523	Metabolomics_Round	R3	6.79238630378956	0.141463695477237	44	44	1.16199724000014e-37	1.16199724000014e-33
mz787.604035413842_rt1743.39	Metabolomics_Round	R3	5.20087336704113	0.115924244940863	44	44	1.78497651934595e-36	8.92488259672977e-33
mz760.582469412836_rt1743.564	Metabolomics_Round	R3	4.55633703430293	0.1402217539195	44	44	6.91605368631904e-31	2.30535122877301e-27
mz215.016421008705_rt446.922	Metabolomics_Round	R3	3.47648096004513	0.107825830342616	44	44	9.40751154833472e-31	2.35187788708368e-27
mz122.096543969878_rt1727.329	Metabolomics_Round	R3	-3.24193616407291	0.107815432346762	44	44	1.46638630168666e-29	2.93277260337332e-26
mz342.085627998978_rt439.642	Metabolomics_Round	R3	3.1225030798882	0.113288002604319	44	44	4.41357294954812e-28	7.35595491591354e-25
mz784.583771029782_rt1743.0005	Metabolomics_Round	R3	3.26044325936115	0.119484780238201	44	44	6.52116158541828e-28	9.31594512202611e-25
mz153.102635301451_rt1719.6485	Metabolomics_Round	R3	2.36276610976811	0.0950154735530575	44	44	2.37689436834351e-26	2.97111796042938e-23
mz489.209777485985_rt1521.136	Metabolomics_Round	R3	3.29328813149341	0.133214370310318	44	44	2.97911845889092e-26	3.31013162098991e-23
mz785.587962208675_rt1743.39	Metabolomics_Round	R3	2.87455668733132	0.117548015310685	44	44	4.52605818534628e-26	4.52605818534628e-23
mz236.1031441533_rt1766.341	Metabolomics_Round	R3	2.09871959704527	0.0885638507907565	44	44	1.51194780959713e-25	1.37449800872467e-22
mz759.572927119221_rt1742.498	Metabolomics_Round	R3	3.79520633681144	0.161746981023554	44	44	2.20780705792088e-25	1.83983921493407e-22
mz374.108561619336_rt528.204	Metabolomics_Round	R3	3.21026720579813	0.141881489440911	44	44	8.8261129170619e-25	6.78931762850916e-22
mz759.57333628695_rt1303.144	Metabolomics_Round	R3	4.40643863683814	0.198321932186627	44	44	1.7609709741211e-24	1.2578364100865e-21
mz758.569388501051_rt1743.419	Metabolomics_Round	R3	3.72364367950598	0.169292328400149	44	44	2.5821841170687e-24	1.7214560780458e-21
mz758.569769634523_rt1303.311	Metabolomics_Round	R3	4.55127804000418	0.214373038899107	44	44	9.82597441012489e-24	5.93448153167842e-21
mz210.061079890316_rt446.166	Metabolomics_Round	R3	3.07299074880958	0.144844583280184	44	44	1.00886186038533e-23	5.93448153167842e-21
mz760.582790553827_rt1302.9215	Metabolomics_Round	R3	5.66676704453072	0.271076960094483	44	44	1.75853700535181e-23	9.7696500297323e-21
