feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
mz786.600317371162_rt1743.564	Metabolomics_Round	R3	5.67087648023024	0.103923783294586	43	43	1.04596375270454e-37	1.04596375270454e-33
mz787.604480821735_rt1302.523	Metabolomics_Round	R3	6.89059081550511	0.148342811368025	43	43	4.3551280978586e-35	2.1775640489293e-31
mz787.604035413842_rt1743.39	Metabolomics_Round	R3	5.24821713328161	0.124989965715924	43	43	1.88072697885437e-33	6.26908992951457e-30
mz760.582469412836_rt1743.564	Metabolomics_Round	R3	4.68621581193852	0.138859121442294	43	43	6.1320639089754e-30	1.53301597724385e-26
mz215.016421008705_rt446.922	Metabolomics_Round	R3	3.43116175045757	0.106932379617093	43	43	3.91626222304774e-29	7.83252444609549e-26
mz122.096543969878_rt1727.329	Metabolomics_Round	R3	-3.26788607721521	0.112017270584074	43	43	1.27152408082579e-27	2.11920680137631e-24
mz342.085627998978_rt439.642	Metabolomics_Round	R3	3.05888063662516	0.111764846625176	43	43	1.29170514124891e-26	1.84529305892701e-23
mz784.583771029782_rt1743.0005	Metabolomics_Round	R3	3.30572549595154	0.125679418219426	43	43	5.42972993204015e-26	6.78716241505018e-23
mz784.584394214892_rt1303.053	Metabolomics_Round	R3	4.38375503017138	0.173733090410296	43	43	2.42131365653439e-25	2.69034850726043e-22
mz153.102635301451_rt1719.6485	Metabolomics_Round	R3	2.3444543809103	0.0984510435025599	43	43	1.92318541404548e-24	1.80249082001391e-21
mz489.209777485985_rt1521.136	Metabolomics_Round	R3	3.32976633435216	0.139946999740197	43	43	1.9827399020153e-24	1.80249082001391e-21
mz759.572927119221_rt1742.498	Metabolomics_Round	R3	3.91335156728379	0.165165334162271	43	43	2.30236552595178e-24	1.91863793829315e-21
mz374.108561619336_rt528.204	Metabolomics_Round	R3	3.1270221974457	0.135726663553976	43	43	6.23844023228026e-24	4.79880017867712e-21
mz785.587962208675_rt1743.39	Metabolomics_Round	R3	2.90449259150163	0.126732298408935	43	43	7.51873470423892e-24	5.37052478874208e-21
mz236.1031441533_rt1766.341	Metabolomics_Round	R3	2.05961775999769	0.0909809153163934	43	43	1.16358136605053e-23	7.75720910700355e-21
mz758.569388501051_rt1743.419	Metabolomics_Round	R3	3.83148549837959	0.172289655435001	43	43	2.1846158167954e-23	1.36538488549712e-20
mz759.57333628695_rt1303.144	Metabolomics_Round	R3	4.49287127486028	0.20476412071014	43	43	3.51224779177265e-23	2.06602811280744e-20
mz758.569769634523_rt1303.311	Metabolomics_Round	R3	4.62301038099331	0.215652051875766	43	43	7.96835060228633e-23	4.42686144571463e-20
mz210.061079890316_rt446.166	Metabolomics_Round	R3	3.01028221492011	0.148004683077077	43	43	5.02808056982145e-22	2.64635819464287e-19
mz760.582790553827_rt1302.9215	Metabolomics_Round	R3	5.73595035607042	0.292433312046645	43	43	1.77521458900973e-21	8.87607294504866e-19
mz372.881850248154_rt10.656	Metabolomics_Round	R3	-1.55435390986935	0.0799610863202023	43	43	2.42441520504462e-21	1.15448343097363e-18
mz277.967586643257_rt308.467	Metabolomics_Round	R3	2.85181517341062	0.15173442939716	43	43	7.75541095986128e-21	3.52518679993695e-18
mz440.869275478734_rt10.167	Metabolomics_Round	R3	-1.4972741241306	0.0816660985942527	43	43	1.81756012419816e-20	7.90243532260072e-18
mz512.285782507838_rt1520.689	Metabolomics_Round	R3	2.95159668952012	0.163455820406448	43	43	3.05637033267829e-20	1.27348763861595e-17
mz236.907078593956_rt11.658	Metabolomics_Round	R3	-1.57618327693241	0.0874374194472587	43	43	3.24120599810849e-20	1.2964823992434e-17
mz123.091777349984_rt1755.512	Metabolomics_Round	R3	-1.85720445446548	0.103325770995916	43	43	3.57790193574954e-20	1.37611612913444e-17
mz361.096728806258_rt294.5925	Metabolomics_Round	R3	-1.99786742979822	0.111352819746548	43	43	3.80551219322233e-20	1.40944896045271e-17
mz160.075772437613_rt675.919	Metabolomics_Round	R3	2.33736322338924	0.136358943807319	43	43	1.79012727934676e-19	6.39331171195272e-17
mz177.102488895791_rt675.9305	Metabolomics_Round	R3	2.40842805020942	0.143351945355079	43	43	3.51821854654695e-19	1.21317880915412e-16
mz510.436645182572_rt1563.3125	Metabolomics_Round	R3	2.65434207373096	0.165574112041669	43	43	1.68610344256045e-18	5.62034480853482e-16
mz123.091866752565_rt1540.3555	Metabolomics_Round	R3	-3.44574260510221	0.217906868702816	43	43	2.65659461560001e-18	8.5696600503226e-16
mz210.657351013165_rt239.041	Metabolomics_Round	R3	1.59531516690166	0.101644404124637	43	43	3.40249241190867e-18	1.06327887872146e-15
mz165.112923560748_rt1725.01	Metabolomics_Round	R3	-1.5560158197477	0.101002778867735	43	43	6.28415860203476e-18	1.88853652731003e-15
mz600.280665609877_rt1384.8135	Metabolomics_Round	R3	-1.98186464142397	0.128729435764912	43	43	6.42102419285412e-18	1.88853652731003e-15
mz466.410408859573_rt1568.9715	Metabolomics_Round	R3	2.78834170982944	0.188642668645576	43	43	2.43224582850464e-17	6.94927379572754e-15
mz201.65214627439_rt239.014	Metabolomics_Round	R3	1.56108940176925	0.106013142145876	43	43	2.74934373115174e-17	7.63706591986593e-15
mz103.050325791997_rt239.105	Metabolomics_Round	R3	1.13508634796184	0.0772713073331222	43	43	2.9754731971644e-17	8.04181945179567e-15
mz209.946073316187_rt13.047	Metabolomics_Round	R3	-1.39643244452153	0.0954973209969582	43	43	3.45007345795159e-17	9.07914067881997e-15
mz576.844309714953_rt9.6295	Metabolomics_Round	R3	-1.64378014288999	0.115513681784054	43	43	8.3041257351904e-17	2.12926300902318e-14
mz467.413782199435_rt1569.7155	Metabolomics_Round	R3	2.69990748134027	0.190463548863311	43	43	9.39830282727536e-17	2.34957570681884e-14
mz341.266123730931_rt5.095	Metabolomics_Round	R3	1.29731904123077	0.0933821703645178	43	43	1.79156604229556e-16	4.36967327389161e-14
mz94.045054424539_rt239.1005	Metabolomics_Round	R3	1.07589232284541	0.0781770698747652	43	43	2.41897356847322e-16	5.62551992668191e-14
mz554.462915804185_rt1550.402	Metabolomics_Round	R3	2.07126576374042	0.150450349180777	43	43	2.39198116027396e-16	5.62551992668191e-14
mz95.04412291549_rt239.089	Metabolomics_Round	R3	1.08265587149996	0.0793450723446788	43	43	3.1750866864298e-16	7.05574819206622e-14
mz419.055181988386_rt294.852	Metabolomics_Round	R3	-1.93673653908955	0.141926055141706	43	43	3.16630095044853e-16	7.05574819206622e-14
mz123.091924565747_rt1598.464	Metabolomics_Round	R3	-2.87026130505497	0.211038318867487	43	43	3.51937796279451e-16	7.65082165824893e-14
