	observed_features
Killed_fB1_C1_5798_CC1	449
Killed_fB1_C1_5809_CC1	616
Killed_fB1_C1_5846_CC1	459
Killed_fB1_C1_5847_CC1	817
Killed_fB1_C2_5800_CC1	753
Killed_fB1_C2_5814_CC1	892
Killed_fB1_C2_5851_CC1	449
Killed_fB1_C2_5852_CC1	391
Killed_fB2_C1_5886_CC1	512
Killed_fB2_C1_5887_CC1	907
Killed_fB2_C1_5888_CC1	419
Killed_fB2_C1_5949_CC1	1000
Killed_fB2_C2_5889_CC1	401
Killed_fB2_C2_5890_CC1	451
Killed_fB2_C2_5916_CC1	407
Killed_fB2_C2_5950_CC1	854
Killed_fB3_C1_6297_CC1	492
Killed_fB3_C1_6307_CC1	468
Killed_fB3_C1_6309_CC1	412
Killed_fB3_C2_6295_CC1	446
Killed_fB3_C2_6299_CC1	1043
Killed_fB3_C2_6304_CC1	924
Killed_fB3_C2_6306_CC1	419
Killed_fB4_C1_6391_CC1	1565
Killed_fB4_C1_6399_CC1	1754
Killed_fB4_C1_6405_CC1	1367
Killed_fB4_C1_6409_CC1	1676
Killed_fB4_C2_6396_CC1	1043
Killed_fB4_C2_6402_CC1	1682
Killed_fB4_C2_6403_CC1	1296
Killed_fB4_C2_6408_CC1	1377
Killed_fB5_C1_6438_CC1	779
Killed_fB5_C1_6439_CC1	533
Killed_fB5_C1_6441_CC1	714
Killed_fB5_C1_6443_CC1	675
Killed_fB5_C2_6433_CC1	885
Killed_fB5_C2_6435_CC1	831
Killed_fB5_C2_6442_CC1	669
Killed_fB5_C2_6448_CC1	802
Killed_fB6_C1_6471_CC1	615
Killed_fB6_C1_6472_CC1	758
Killed_fB6_C1_6489_CC1	762
Killed_fB6_C1_6490_CC1	827
Killed_fB6_C2_6476_CC1	810
Killed_fB6_C2_6478_CC1	616
Killed_fB6_C2_6483_CC1	730
Killed_fB6_C2_6484_CC1	694
Killed_mB1_6178_CC1	400
Killed_mB1_6180_CC1	430
Killed_mB1_6181_CC1	756
Killed_mB1_6189_CC1	393
Killed_mB1_6190_CC1	427
Killed_mB1_6191_CC1	511
Killed_mB1_6291_CC1	668
Killed_mB1_6294_CC1	502
Killed_mB2_6322_CC1	921
Killed_mB2_6323_CC1	1004
Killed_mB2_6326_CC1	397
Killed_mB2_6329_CC1	825
Killed_mB2_6330_CC1	427
Killed_mB2_6332_CC1	418
Killed_mB2_6333_CC1	838
Killed_mB3_6340_CC1	381
Killed_mB3_6342_CC1	865
Killed_mB3_6343_CC1	349
Killed_mB3_6344_CC1	338
Killed_mB3_6345_CC1	719
Killed_mB3_6347_CC1	651
Killed_mB3_6351_CC1	849
Killed_mB3_6356_CC1	882
Killed_mB4_6370_CC1	903
Killed_mB4_6371_CC1	778
Killed_mB4_6383_CC1	930
Killed_mB4_6386_CC1	1950
Killed_mB4_6388_CC1	1521
Killed_mB4_6389_CC1	526
Killed_mB5_6411_CC1	1382
