	shannon_entropy
Killed_fB1_C1_5798_CC1	4.7684198020796105
Killed_fB1_C1_5809_CC1	4.826962727893855
Killed_fB1_C1_5846_CC1	4.768328060945613
Killed_fB1_C1_5847_CC1	4.9497868687771645
Killed_fB1_C2_5800_CC1	4.707201680244074
Killed_fB1_C2_5814_CC1	4.785664779473052
Killed_fB1_C2_5851_CC1	4.79787022534504
Killed_fB1_C2_5852_CC1	4.811018073874026
Killed_fB2_C1_5886_CC1	4.80587093002458
Killed_fB2_C1_5887_CC1	4.805129046470566
Killed_fB2_C1_5888_CC1	4.683770941972637
Killed_fB2_C1_5949_CC1	4.811207065846862
Killed_fB2_C2_5889_CC1	4.133865001078369
Killed_fB2_C2_5890_CC1	4.25867642113266
Killed_fB2_C2_5916_CC1	4.413532265655272
Killed_fB2_C2_5950_CC1	4.414503831708413
Killed_fB3_C1_6297_CC1	5.202733996353791
Killed_fB3_C1_6307_CC1	5.049465571103319
Killed_fB3_C1_6309_CC1	4.992338070223629
Killed_fB3_C2_6295_CC1	4.856157216859453
Killed_fB3_C2_6299_CC1	4.874582010919626
Killed_fB3_C2_6304_CC1	4.842441336561032
Killed_fB3_C2_6306_CC1	4.743069175140429
Killed_fB4_C1_6391_CC1	5.438672669058268
Killed_fB4_C1_6399_CC1	5.57490374033165
Killed_fB4_C1_6405_CC1	5.439717152682457
Killed_fB4_C1_6409_CC1	5.758818003508931
Killed_fB4_C2_6396_CC1	5.132271485179484
Killed_fB4_C2_6402_CC1	5.352796506521132
Killed_fB4_C2_6403_CC1	5.240582826439052
Killed_fB4_C2_6408_CC1	5.243717151054884
Killed_fB5_C1_6438_CC1	4.84601512329745
Killed_fB5_C1_6439_CC1	4.58800820367064
Killed_fB5_C1_6441_CC1	4.6719699630248614
Killed_fB5_C1_6443_CC1	4.782867889488281
Killed_fB5_C2_6433_CC1	4.792499078946234
Killed_fB5_C2_6435_CC1	5.07646092648829
Killed_fB5_C2_6442_CC1	4.853725403265422
Killed_fB5_C2_6448_CC1	4.755237859630907
Killed_fB6_C1_6471_CC1	4.4482034781584705
Killed_fB6_C1_6472_CC1	4.658363231753117
Killed_fB6_C1_6489_CC1	5.011688019823263
Killed_fB6_C1_6490_CC1	4.931522233775289
Killed_fB6_C2_6476_CC1	4.738946840679368
Killed_fB6_C2_6478_CC1	4.5820483276391215
Killed_fB6_C2_6483_CC1	4.704011361516583
Killed_fB6_C2_6484_CC1	4.650157387186203
Killed_mB1_6178_CC1	4.291722142840366
Killed_mB1_6180_CC1	4.830677026814274
Killed_mB1_6181_CC1	4.481972871968529
Killed_mB1_6189_CC1	4.055762447177854
Killed_mB1_6190_CC1	4.803730927414016
Killed_mB1_6191_CC1	4.908393579251648
Killed_mB1_6291_CC1	4.226487073763759
Killed_mB1_6294_CC1	4.72050700182244
Killed_mB2_6322_CC1	4.3798966336981
Killed_mB2_6323_CC1	4.664096790349913
Killed_mB2_6326_CC1	4.246481972724948
Killed_mB2_6329_CC1	4.412383079971069
Killed_mB2_6330_CC1	4.903414951411599
Killed_mB2_6332_CC1	4.32539493094712
Killed_mB2_6333_CC1	4.906189971151866
Killed_mB3_6340_CC1	4.635982991184409
Killed_mB3_6342_CC1	4.3639420046616335
Killed_mB3_6343_CC1	3.921526187822802
Killed_mB3_6344_CC1	3.9867347789356167
Killed_mB3_6345_CC1	4.231420623547561
Killed_mB3_6347_CC1	4.178979197492441
Killed_mB3_6351_CC1	4.927067343059035
Killed_mB3_6356_CC1	4.38417919744265
Killed_mB4_6370_CC1	4.718660165284644
Killed_mB4_6371_CC1	5.229810938578323
Killed_mB4_6383_CC1	5.029324905004149
Killed_mB4_6386_CC1	6.361759668998133
Killed_mB4_6388_CC1	5.909056873579797
Killed_mB4_6389_CC1	4.625140113399412
Killed_mB5_6411_CC1	5.039341834361408
Killed_mB5_6412_CC1	4.675883047157569
Killed_mB5_6416_CC1	4.927992967324496
Killed_mB5_6418_CC2	4.147756341459179
Killed_mB5_6421_CC1	5.015957287373484
Killed_mB5_6428_CC1	4.716103311722618
Killed_mB5_6430_CC1	4.44464197744694
Killed_mB6_6453_CC1	4.568858991552748
Killed_mB6_6456_CC1	4.634788759610201
Killed_mB6_6457_CC1	4.092976186407752
Killed_mB6_6460_CC1	4.607009617096346
Killed_mB6_6465_CC1	4.688345748695199
Killed_mB6_6467_CC1	3.9521168007585623
Killed_mB6_6468_CC1	4.732683485391846
Live_fB1_C1_5810_CC1	5.068160636433158
Live_fB1_C1_5811_CC1	4.999050619759687
Live_fB1_C1_5848_CC1	4.909893715065421
Live_fB1_C1_5849_CC1	4.887801798187009
Live_fB1_C2_5799_CC1	4.851867630227102
Live_fB1_C2_5812_CC1	4.824865741023554
Live_fB1_C2_5813_CC1	4.935780240252071
Live_fB1_C2_5850_CC1	4.973222780298723
Live_fB2_C1_5891_CC1	4.420733866907756
Live_fB2_C1_5917_CC1	4.351346961012966
Live_fB2_C1_5951_CC1	4.382823556018521
Live_fB2_C1_5952_CC1	4.399028238293892
Live_fB2_C2_5892_CC1	4.144092836722313
Live_fB2_C2_5893_CC1	4.03174461890525
Live_fB2_C2_5953_CC1	4.312687668907831
Live_fB2_C2_5954_CC1	4.168667633551241
Live_fB3_C1_6303_CC1	4.9915860287295
Live_fB3_C1_6310_CC1	4.999267928109152
Live_fB3_C1_6312_CC1	5.041480866609121
