sampleid	MouseID	Corticosterone	Cortisol	Glutamic_acid	Glutamine	Histamine	Indolelactic_acid	Kynurenic_acid	Kynurenine	Serotonin	Thyroxine	Tryptophan	GABA	Sampletype
R1_S1_6342	6342	31085	NA	227242	1616692	17073	28115	19293	98958	3827280	11421	11894884	34262	Sample
R1_S10_6303	6303	203488	11531	233790	1673840	44286	65386	28998	218798	3696066	5980	22571728	58609	Sample
R1_S11_6324	6324	43331	NA	209897	1414850	25119	25696	13931	112828	3231473	6544	14548817	48177	Sample
R1_S12_6344	6344	26797	NA	354490	1636568	36252	19703	12520	117755	2152214	6353	12862708	41203	Sample
R1_S13_5916	5916	214210	4725	177797	1496206	27325	54501	21591	230712	4138491	7814	21413596	68147	Sample
R1_S14_6308	6308	151434	NA	262351	1920356	43078	38504	24282	298738	5807866	6520	18744812	78144	Sample
R1_S15_6327	6327	63795	3072	222018	1689093	18143	31082	31981	141981	1564996	8564	16805014	43668	Sample
R1_S16_5847	5847	189332	3143	452611	1586897	43871	50034	10617	162922	3467212	7653	23049252	59999	Sample
R1_S17_6357	6357	8630	NA	251493	1323054	18609	37955	36753	160192	3072841	7651	18431510	44908	Sample
R1_S18_6329	6329	66085	NA	313649	1808228	16128	27795	20678	150804	3309144	7510	15296231	53897	Sample
R1_S19_6309	6309	157237	NA	378458	1825556	47898	43550	30898	186370	4076173	4778	22968076	94687	Sample
R1_S2_5810	5810	101659	NA	259242	1422291	54071	53232	38081	225604	1739375	5558	18651226	56272	Sample
R1_S20_6193	6193	118134	NA	320907	1636888	26098	29365	26574	148599	2237142	6819	14364480	50042	Sample
R1_S21_5812	5812	215813	11541	214211	1782175	35122	38772	20730	179787	3251452	6881	19494930	68088	Sample
R1_S22_6188	6188	103011	4195	266879	1485058	19045	27301	12794	130824	3259249	12759	15102808	41189	Sample
R1_S23_5799	5799	100969	NA	213203	1640203	25466	34365	20623	166838	2101874	6465	21262120	82878	Sample
R1_S24_6330	6330	54616	NA	469459	1428754	25936	26729	15453	88942	4070754	9566	15214655	48964	Sample
R1_S25_5950	5950	227520	4280	270229	1768947	47461	38219	23540	156007	3598263	6865	21171836	42082	Sample
R1_S26_6191	6191	74473	NA	259238	1720827	22994	21209	20942	126845	3809938	8610	16342613	67366	Sample
R1_S27_6346	6346	64309	NA	293281	1491878	12222	23633	46061	135579	3074805	8541	18373664	80493	Sample
R1_S28_6310	6310	128173	NA	433746	1973263	37468	38412	32586	243748	4145683	7039	22285886	71247	Sample
R1_S29_6295	6295	276321	7644	159143	1551147	24883	38150	26685	158500	3741037	9883	22289926	57076	Sample
R1_S3_6326	6326	112801	4742	385306	1481964	28431	34034	21512	192807	3672637	6602	18578428	51791	Sample
R1_S30_5811	5811	138346	4574	509415	1714790	96594	41222	26037	186422	1712755	6604	21220232	62009	Sample
R1_S31_6343	6343	33947	NA	312428	1344849	22401	25866	58652	248278	3336888	9259	19681328	64854	Sample
R1_S32_6335	6335	74921	NA	250835	1470337	14564	19689	33032	142468	3044305	7629	17860050	54516	Sample
R1_S33_5851	5851	202826	5191	272134	1445624	23680	25695	30960	189060	3784285	4809	20586968	80654	Sample
R1_S34_5953	5953	167724	3277	290999	1570562	97713	35948	30371	177958	4112580	7393	19407708	64046	Sample
R1_S35_6356	6356	13151	2424	289142	1363470	19378	19018	24921	130045	2837522	7839	15801643	49733	Sample
R1_S36_5949	5949	188642	8571	182578	1767233	18162	57276	22510	204483	3178511	8483	21793312	53290	Sample
R1_S37_5952	5952	81714	NA	190096	1623422	24451	54635	18915	168218	6305364	7152	20515434	68974	Sample
R1_S38_6178	6178	93796	4971	447093	1779138	46003	16452	13970	86115	2165569	9384	10645272	64397	Sample
R1_S39_6355	6355	17637	NA	320769	1593506	18450	14623	13469	114006	3167865	9003	13924046	42302	Sample
R1_S4_5887	5887	246777	4769	208648	1653665	68485	42228	16320	204013	2348365	6153	22349202	51814	Sample
R1_S40_6181	6181	61700	NA	419708	1662944	22932	20474	30932	198700	4100507	9614	16715806	86505	Sample
R1_S41_6292	6292	47335	NA	467936	1696200	34016	24666	13643	127779	4086424	7553	13573525	84379	Sample
R1_S42_5814	5814	124092	4193	328520	1421161	38693	26593	30613	204107	1955521	8500	21249018	70976	Sample
R1_S5_6304	6304	119459	NA	214712	1793833	57113	39229	25121	208406	4543299	5887	21065766	58927	Sample
R1_S6_6300	6300	74875	NA	215908	1930530	14978	33540	27141	162758	4381793	7426	20397092	88602	Sample
R1_S7_6192	6192	64003	NA	216629	1446314	13385	27481	19023	146415	2954529	8510	14708930	35838	Sample
R1_S8_6334	6334	33345	5222	162922	1808253	14284	24782	17432	160110	3260309	11151	16208520	46813	Sample
R1_S9_6189	6189	34664	NA	317528	1625851	45796	17800	11841	120014	1819968	9539	14204417	41077	Sample
R3_S1_6405	6405	215342	NA	195581	1849925	11592	60952	23040	142200	4359902	10336	19290008	63707	Sample
R3_S10_6392	6392	91695	3852	324405	1526463	58595	35446	56896	287874	4445090	6991	23584832	65906	Sample
R3_S11_6456	6456	49743	NA	222315	1406305	14466	15091	14205	75181	3230218	9814	14129334	46580	Sample
R3_S12_6425	6425	4496	NA	311939	1412282	11683	15608	17580	79284	2925876	10376	11131848	40506	Sample
R3_S13_6391	6391	286111	16368	396638	1644500	67859	66111	40621	212765	3272081	9520	24365336	64753	Sample
