Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
426.991928929905,C00015,M+Na [1+],248.3025,0.000513983904966153,EC0001
348.070767866109,C00020,M+H [1+],306.5855,0.000407527109018702,EC0002
130.050006468106,C00025,M-H2O+H [1+],508.349,0.000172220335997508,EC0003
130.05003235712,C00025,M-H2O+H [1+],275.958,0.000198109349980768,EC0004
130.050047905574,C00025,M-H2O+H [1+],687.9345,0.000213657803982414,EC0005
130.050060936078,C00025,M-H2O+H [1+],339.9925,0.000226688308003986,EC0004
130.050212727512,C00025,M-H2O+H [1+],1052.642,0.000378479741982574,EC0006
148.060858216062,C00025,M+H [1+],279.065,0.000424435062001294,EC0004
170.041721886347,C00025,M+Na [1+],308.787,0.000653894652998588,EC0004
170.04244950864,C00025,M+Na [1+],279.722,7.37276400002429e-05,EC0004
129.018389605565,C00026,M-H2O+H [1+],530.792,0.000189836795016163,EC0007
129.018393239487,C00026,M-H2O+H [1+],339.3405,0.000193470717022137,EC0008
147.029174773276,C00026,M+H [1+],530.809,0.00037547127601556,EC0007
169.01085488493,C00026,M+Na [1+],322.682,0.000113582930026723,EC0008
163.060094741005,C00031,M-H2O+H [1+],324.459,3.01582350061835e-05,EC0009
181.071016974499,C00031,M+H [1+],348.586,0.000352858499013564,EC0009
181.071018883403,C00031,M+H [1+],438.0305,0.000354767403024425,EC0009
198.097316033729,C00031,M+NH4 [1+],326.893,0.000104917728975806,EC0009
203.052682945384,C00031,M+Na [1+],1724.628,7.68293839996659e-05,EC00010
203.05271998889,C00031,M+Na [1+],277.978,0.000113872890011635,EC00011
203.052728767939,C00031,M+Na [1+],359.36,0.000122651938994522,EC0009
203.052743114194,C00031,M+Na [1+],316.6515,0.000136998193994486,EC0009
219.026700339592,C00031,M+K [1+],277.1125,0.000154223592005565,EC00011
219.026715441331,C00031,M+K [1+],314.3865,0.000169325331000891,EC0009
91.0388998333437,C00031,M+2H [2+],348.515,7.02246562980235e-05,EC0009
91.038935064777,C00031,M+2H [2+],438.0865,3.49932230108152e-05,EC0009
112.037086789862,C00041,M+Na [1+],274.622,0.000190316861989004,EC00012
90.054866238269,C00041,M+H [1+],322.338,8.82347310096065e-05,EC00012
90.0548831415654,C00041,M+H [1+],292.643,7.13314346114657e-05,EC00012
101.023401493731,C00042,M-H2O+H [1+],655.91,0.000116346961007707,EC00013
141.01606135372,C00042,M+Na [1+],656.2785,0.00023467372000141,EC00013
141.016078148134,C00042,M+Na [1+],508.981,0.000251468133996013,EC00014
147.113143475773,C00047,M+H [1+],250.7095,0.000339773773021079,EC00015
147.113404035782,C00047,M+H [1+],305.5735,0.000600333782017515,EC00016
169.094685362463,C00047,M+Na [1+],260.306,6.03395369864757e-05,EC00015
185.068377052507,C00047,M+K [1+],260.317,0.00030864949297893,EC00015
307.083709435796,C00051,M [1+],307.012,0.000100564204046805,EC00017
308.090112799895,C00051,M+H [1+],308.554,0.000973200105022443,EC00017
308.091508392817,C00051,M+H [1+],434.0515,0.000422392816972206,EC00018
306.048544655248,C00055,M-H2O+H [1+],296.179,1.72374780049722e-05,EC00019
175.118923554997,C00062,M+H [1+],309.032,2.81570029869727e-05,EC00020
175.119266080672,C00062,M+H [1+],273.922,0.000314368672007959,EC00020
197.101060070323,C00062,M+Na [1+],272.195,0.000166358323014038,EC00020
129.065939677386,C00064,M-H2O+H [1+],1711.0225,0.000121014616013326,EC00021
129.065952741005,C00064,M-H2O+H [1+],287.633,0.000134078234992785,EC00022
129.065972950365,C00064,M-H2O+H [1+],1685.632,0.000154287594995139,EC00021
129.066029249114,C00064,M-H2O+H [1+],1598.4665,0.000210586343996511,EC00023
147.076642882391,C00064,M+H [1+],1733.153,0.000224686391021578,EC00021
147.076766397891,C00064,M+H [1+],275.969,0.000348201891000599,EC00022
147.076812170778,C00064,M+H [1+],321.135,0.000393974778006623,EC00022
169.058295312213,C00064,M+Na [1+],313.858,6.48837869903218e-05,EC00022
169.058319958809,C00064,M+Na [1+],274.451,4.02371910013244e-05,EC00022
150.058719218802,C00073,M+H [1+],332.4205,0.00039392780200842,EC00024
150.058744159394,C00073,M+H [1+],439.074,0.000418868394007177,EC00025
172.040481477092,C00073,M+Na [1+],313.883,0.000214186091994861,EC00024
172.040595864481,C00073,M+Na [1+],440.125,0.000328573480999239,EC00025
115.086712773681,C00077,M-H2O+H [1+],250.215,0.000158668911012683,EC00026
133.097325648337,C00077,M+H [1+],250.2305,0.000172010337024631,EC00026
155.079542620256,C00077,M+Na [1+],260.299,0.000446982256022466,EC00026
204.089062495284,C00078,M [1+],763.266,0.000815142715993034,EC00027
205.097238803022,C00078,M+H [1+],763.606,8.51650220283773e-05,EC00027
227.079338726488,C00078,M+Na [1+],761.085,0.000243088488019794,EC00027
148.076104481203,C00079,M-H2O+H [1+],718.032,0.000449413433017298,EC00028
166.086017936165,C00079,M+H [1+],718.033,0.000236664834972089,EC00028
188.068338676491,C00079,M+Na [1+],718.03,0.000142075491027072,EC00028
204.042178062475,C00079,M+K [1+],718.0315,4.14614750070541e-05,EC00028
182.081403366075,C00082,M+H [1+],649.6135,0.000234143075005022,EC00029
182.08143703503,C00082,M+H [1+],344.3555,0.000267812030017467,EC00030
204.063191611854,C00082,M+Na [1+],647.8565,8.0388854001967e-05,EC00029
220.037176478834,C00082,M+K [1+],645.6055,0.000125255834007021,EC00029
61.0397640441321,C00086,M+H [1+],286.722,0.000125284132103332,EC00031
61.0397715845746,C00086,M+H [1+],325.315,0.000132824574606616,EC00032
83.0213863560072,C00086,M+Na [1+],286.8835,0.000194403992807679,EC00031
98.9954710387283,C00086,M+K [1+],287.1215,4.9721271707881e-05,EC00031
325.112957449347,C00089,M-H2O+H [1+],277.8195,6.94365770073091e-05,EC00033
325.113120232059,C00089,M-H2O+H [1+],324.472,0.000232219288989199,EC00034
343.123600572039,C00089,M+H [1+],325.041,0.000113026039002762,EC00034
163.060094741005,C00095,M-H2O+H [1+],324.459,2.82742350066201e-05,EC0009
181.071016974499,C00095,M+H [1+],348.586,0.000350974499014001,EC0009
181.071018883403,C00095,M+H [1+],438.0305,0.000352883403024862,EC0009
198.097316033729,C00095,M+NH4 [1+],326.893,0.000103033728976243,EC0009
203.052682945384,C00095,M+Na [1+],1724.628,7.49453840001024e-05,EC00010
203.05271998889,C00095,M+Na [1+],277.978,0.000111988890012071,EC00011
203.052728767939,C00095,M+Na [1+],359.36,0.000120767938994959,EC0009
203.052743114194,C00095,M+Na [1+],316.6515,0.000135114193994923,EC0009
219.026700339592,C00095,M+K [1+],277.1125,0.000152339592006001,EC00011
219.026715441331,C00095,M+K [1+],314.3865,0.000167441331001328,EC0009
91.0388998333437,C00095,M+2H [2+],348.515,7.11666562978053e-05,EC0009
91.038935064777,C00095,M+2H [2+],438.0865,3.59352230105969e-05,EC0009
588.071506364016,C00096,M-H2O+H [1+],277.375,0.00232290375402044,EC00035
588.071540935145,C00096,M-H2O+H [1+],319.696,0.00228833262508488,EC00036
112.037086789862,C00099,M+Na [1+],274.622,0.000190316861989004,EC00012
90.054866238269,C00099,M+H [1+],322.338,8.82347310096065e-05,EC00012
90.0548831415654,C00099,M+H [1+],292.643,7.13314346114657e-05,EC00012
125.021075643973,C00109,M+Na [1+],513.402,0.000163585973012914,EC00037
125.021131775763,C00109,M+Na [1+],474.9575,0.000219717763002336,EC00037
115.036703832205,C00116,M+Na [1+],290.8045,0.000141710205014078,EC00038
131.010631152139,C00116,M+K [1+],291.0055,0.000129030139021324,EC00038
245.095565553449,C00120,M+H [1+],817.796,0.000126475449008012,EC00039
267.077995802955,C00120,M+Na [1+],817.796,0.00061472495497128,EC00039
168.086534893191,C00121,M+NH4 [1+],436.114,0.000111536809015433,EC00040
173.042485142006,C00121,M+Na [1+],311.846,0.000443712006017449,EC00041
173.042765716879,C00121,M+Na [1+],437.086,0.000724286879005831,EC00040
114.091521203072,C00123,M-H2O+H [1+],799.296,0.000216071302020282,EC00042
132.102018055121,C00123,M+H [1+],586.7255,0.0001133901210153,EC00043
132.102022956422,C00123,M+H [1+],642.2735,0.000118291422012362,EC00043
132.102044945295,C00123,M+H [1+],555.7775,0.000140280295028106,EC00043
132.102050948737,C00123,M+H [1+],485.555,0.000146283737024078,EC00043
132.102094278949,C00123,M+H [1+],360.81,0.000189613949032719,EC00043
132.102111112123,C00123,M+H [1+],446.6505,0.000206447123019871,EC00043
154.084274977351,C00123,M+Na [1+],585.8155,0.000428312351004934,EC00043
154.084289694547,C00123,M+Na [1+],639.753,0.000443029547028573,EC00043
154.084340189622,C00123,M+Na [1+],555.523,0.000493524622015684,EC00043
163.060094741005,C00124,M-H2O+H [1+],324.459,2.82742350066201e-05,EC0009
181.071016974499,C00124,M+H [1+],348.586,0.000350974499014001,EC0009
181.071018883403,C00124,M+H [1+],438.0305,0.000352883403024862,EC0009
198.097316033729,C00124,M+NH4 [1+],326.893,0.000103033728976243,EC0009
203.052682945384,C00124,M+Na [1+],1724.628,7.49453840001024e-05,EC00010
203.05271998889,C00124,M+Na [1+],277.978,0.000111988890012071,EC00011
203.052728767939,C00124,M+Na [1+],359.36,0.000120767938994959,EC0009
203.052743114194,C00124,M+Na [1+],316.6515,0.000135114193994923,EC0009
219.026700339592,C00124,M+K [1+],277.1125,0.000152339592006001,EC00011
219.026715441331,C00124,M+K [1+],314.3865,0.000167441331001328,EC0009
91.0388998333437,C00124,M+2H [2+],348.515,7.11666562978053e-05,EC0009
91.038935064777,C00124,M+2H [2+],438.0865,3.59352230105969e-05,EC0009
307.083709435796,C00127,M+2H [2+],307.012,0.000452486796007179,EC00044
307.083717298231,C00127,M+2H [2+],631.1435,0.000460349231047985,EC00045
613.159381413078,C00127,M+H [1+],306.953,0.000143515077979828,EC00044
613.159551575863,C00127,M+H [1+],632.123,0.000313677863005069,EC00045
635.141269401854,C00127,M+Na [1+],631.665,8.95038539283632e-05,EC00045
635.141637581631,C00127,M+Na [1+],306.8165,0.000457683630997963,EC00044
156.076874881756,C00135,M+H [1+],310.05,0.000122334756014197,EC00046
156.077143933068,C00135,M+H [1+],274.636,0.00039138606800293,EC00046
156.077282830585,C00135,M+H [1+],252.742,0.000530283585021607,EC00046
163.060094741005,C00137,M-H2O+H [1+],324.459,3.01582350061835e-05,EC0009
181.071016974499,C00137,M+H [1+],348.586,0.000352858499013564,EC0009
