"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Steroid hormone biosynthesis","77","30","11","1.0029","0.0016477","0.010485","0.021225","0","0","0.0378971","0.241155","0.488175","P1","EC000264;EC000220;EC000269;EC000166;EC000268"
"Fatty acid biosynthesis","10","2","1","0.23599","0.018403","0.20632","0.022043","0","0","0.404866","1","0.488175","P2","EC000296;EC000298"
"Primary bile acid biosynthesis","46","4","2","0.29499","0.029589","0.2512","0.022609","3","0.03","0.621369","1","0.488175","P3","EC000165;EC000263"
"Glycerolipid metabolism","7","3","1","0.11799","0.11435","1","0.027451","0","0","1","1","0.54902","P4","EC00038"
"Porphyrin and chlorophyll metabolism","27","7","2","0.64897","0.13142","0.47394","0.02856","0","0","1","1","0.54902","P5","EC000148;EC000143"
"Phenylalanine metabolism","12","9","2","0.94395","0.24068","0.61001","0.036956","6","0.06","1","1","0.665208","P6","EC00028;EC000278"
"Aminoacyl-tRNA biosynthesis","22","17","4","1.7699","0.25393","0.5148","0.038151","25","0.25","1","1","0.665208","P7","EC00028;EC00021;EC00043"
"Glycerophospholipid metabolism","13","3","1","0.35398","0.30687","1","0.043386","31","0.31","1","1","0.694176","P8","EC000151"
"Tyrosine metabolism","42","13","2","1.1799","0.332","0.69411","0.046156","13","0.13","1","1","0.694176","P9","EC000273;EC000151"
"Galactose metabolism","27","14","1","0.41298","0.34837","1","0.048071","20","0.2","1","1","0.694176","P10","EC00038"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","3","1","0.41298","0.34837","1","0.048071","62","0.62","1","1","0.694176","P11","EC00028"
"Nitrogen metabolism","6","2","1","0.41298","0.34837","1","0.048071","0","0","1","1","0.694176","P12","EC00021"
"Valine, leucine and isoleucine biosynthesis","8","5","2","0.53097","0.42441","1","0.05827","1","0.01","1","1","0.694176","P13","EC00043"
"Drug metabolism - cytochrome P450","21","8","2","0.58997","0.45919","1","0.063775","49","0.49","1","1","0.694176","P14","EC000278"
"Valine, leucine and isoleucine degradation","35","10","2","0.64897","0.49196","1","0.069542","0","0","1","1","0.694176","P15","EC00043"
"Arachidonic acid metabolism","35","28","6","0.64897","0.49196","1","0.069542","32","0.32","1","1","0.694176","P16","EC000130"
"Glyoxylate and dicarboxylate metabolism","31","6","1","0.76696","0.55194","1","0.081832","73","0.73","1","1","0.694176","P17","EC00021"
"D-Glutamine and D-glutamate metabolism","6","6","2","0.82596","0.57935","1","0.088338","13","0.13","1","1","0.694176","P18","EC00021"
"Arginine biosynthesis","14","9","1","1.0619","0.67385","1","0.11654","64","0.64","1","1","0.694176","P19","EC00021"
"Alanine, aspartate and glutamate metabolism","28","13","1","1.2979","0.74795","1","0.14768","51","0.51","1","1","0.694176","P20","EC00021"
"Pyrimidine metabolism","39","17","2","1.4749","0.79271","1","0.17253","19","0.19","1","1","0.694176","P21","EC00021"
"Purine metabolism","66","17","1","1.5929","0.81824","1","0.18963","96","0.96","1","1","0.694176","P22","EC00021"
"Tryptophan metabolism","41","18","2","1.5929","0.81824","1","0.18963","100","1","1","1","0.694176","P23","EC000187"
