MouseID	MouseID_2	CageNr	Takedown	Takedown_order	Promethion_Position	Promethion_Cabinet	Category	Sex	Batch	DOB	Litter	T0_Date	T0_time	T0_DayPI	T0_weight	T0_leanmass	T0_leanperc	T0_fatmass	T0_fatperc	T0_Fwater	T0_Twater	T1_Date	T1_time	T1_DayPI	T1_weight	T2_Date	T2_time	T2_DayPI	T2_weight	T3_Date	T3_time	T3_DayPI	T3_weight	T4_Date	T4_DayPI	T4_time	T4_weight	T4_fatmass	T4_fatperc	T4_leanmass	T4_leanperc	T4_Fwater	T4_Twater	T5_Date	T5_time	T5_DayPI	Promethion_Comments_mouse	Promethion_Comments_for _all	T6_Date	T6_fasting_start	T6_takedown_time	T6_DayPI	T6_weight	T6_fatmass	T6_fatperc	T6_leanmass	T6_leanperc	T6_Fwater	T6_Twater	Spilled_Food_cage	Feces_cage	Promethion_weight	qPCR_Cmin_per_gCC	bombcal_thawed_sample_mass	bombcal_Dry_sample_mass	bombcal_Burned_sample_mass	bombcal_Calorific_Value	Comment_all
5798	Killed_fB1C1M1	Killed_fb1c1	C	4	1	1	Killed	F	fB1	11.03.2020	A	16.04.2020	11:00	0	21.34	18.85	88.33177132	2.05	9.606373008	0.11	16.18	22.04.2020	11:50 AM	6	22.75	29.04.2020	11:21	13	24.26	06.05.2020	09:50	20	27.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	11.05.2020: tranfered mice from 8 to 9 am	14.05.2020	07:47	12:43	28	28.46	3.91	13.74	21.1	74.14	0	20.59	23.18	3.01	27.63461	15864979	3.0023	2.966	0.9899	15797	NA
5847	Killed_fB1C1M2	Killed_fb1c1	D	11	6	1	Killed	F	fB1	15.03.2020	B	16.04.2020	11:00	0	25.14	22.15	88.10660302	2.81	11.17740652	0	18.76	22.04.2020	11:50 AM	6	26.95	29.04.2020	11:21	13	28.51	06.05.2020	09:50	20	30.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	12.05.2020: checked mice at 12:55-13:00	14.05.2020	10:01	14:50	28	30.75	6.42	20.88	23.28	75.71	0.49	21.12	38.04	2.87	32.86928	33200000	2.8625	2.8209	0.9264	17999	NA
5846	Killed_fB1C1M3	Killed_fb1c1	C	14	3	1	Killed	F	fB1	15.03.2020	B	16.04.2020	11:00	0	24.52	21.29	86.82707993	2.39	9.747145188	0.2	19.08	22.04.2020	11:50 AM	6	26.95	29.04.2020	11:21	13	29.12	06.05.2020	09:50	20	33.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	12.05.2020: added food 16:15 - 16:35	14.05.2020	10:45	15:23	28	32.33	5.5	17.01	22.4	69.29	0.09	20.07	37.65	2.98	32.23645	23240741	2.9676	2.9245	0.9923	15766	NA
5809	Killed_fB1C1M4	Killed_fb1c1	D	1	8	1	Killed	F	fB1	09.03.2020	C	16.04.2020	11:00	0	25.73	22.36	86.9024485	2.63	10.22153129	0.06	20.04	22.04.2020	11:50 AM	6	27.92	29.04.2020	11:21	13	31.81	06.05.2020	09:50	20	31.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	"13.05.2020: checked mice at 13:40 - 13:45, many cages have some spilled food --> will weigh that too and note down weigh"	14.05.2020	07:00	12:00	28	32.41	6.83	21.07	24.56	75.78	0.12	21.74	4.24	2.05	33.71314	20895522	2.043	1.978	0.8801	15668	NA
5800	Killed_fB1C2M1	Killed_fb1c2	C	8	10	2	Killed	F	fB1	11.03.2020	A	16.04.2020	11:00	0	21.98	19	86.4422202	2.18	9.91810737	0	16.84	22.04.2020	11:50 AM	6	24.31	29.04.2020	10:21	13	27.55	06.05.2020	10:21	20	28.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	NA	14.05.2020	08:45	13:37	28	29.56	5.49	18.57	23.44	79.3	0	20.77	10.41	2.83	30.32634	26196581	2.8007	2.7793	0.8277	15907	NA
5852	Killed_fB1C2M2	Killed_fb1c2	C	12	12	2	Killed	F	fB1	15.03.2020	B	16.04.2020	11:00	0	25.04	21.47	85.7428115	2.63	10.50319489	0.2	19.18	22.04.2020	11:50 AM	6	27.22	29.04.2020	10:21	13	29.35	06.05.2020	10:21	20	33.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	NA	14.05.2020	10:15	14:49	28	32.12	6.61	20.58	23.42	72.91	0.19	21.19	7.27	2.42	31.46773	44814815	2.4146	2.376	0.8565	15631	NA
5851	Killed_fB1C2M3	Killed_fb1c2	D	3	13	2	Killed	F	fB1	15.03.2020	B	16.04.2020	11:00	0	26.04	22.33	85.75268817	3.21	12.32718894	0.22	19.58	22.04.2020	11:50 AM	6	29.79	29.04.2020	10:21	13	32.94	06.05.2020	10:21	20	37.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	NA	14.05.2020	07:30	12:34	28	34.3	6.79	19.8	25.39	74.02	0	17.48	42.7	2.1	34.91384	28769841	2.0914	2.262	0.8596	15997	NA
5814	Killed_fB1C2M4	Killed_fb1c2	D	9	16	2	Killed	F	fB1	09.03.2020	C	16.04.2020	11:00	0	22.57	19.38	85.86619406	2.95	13.0704475	0	16.95	22.04.2020	11:50 AM	6	25.55	29.04.2020	10:21	13	28.99	06.05.2020	10:21	20	31.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	NA	14.05.2020	09:30	14:25	28	32.79	7.5	22.87	24.06	73.38	0.03	21.48	6.56	2.85	32.91499	17532468	2.8514	2.805	0.9046	15710	NA
5811	Live_fB1C1M1	Live_fb1c1	D	15	9	2	Live	F	fB1	09.03.2020	C	16.04.2020	11:00	0	21.28	18.45	86.70112782	2.4	11.27819549	0.28	16.09	22.04.2020	11:50 AM	6	23.66	29.04.2020	10:35	13	25.94	06.05.2020	10:37	20	29.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	NA	14.05.2020	11:00	15:37	28	27.49	4.5	16.37	22.23	80.87	0.27	17.57	5.3	3.16	27.72734	27711443	3.1404	3.085	0.9565	15900	NA
5849	Live_fB1C1M2	Live_fb1c1	C	6	11	2	Live	F	fB1	15.03.2020	B	16.04.2020	11:00	0	25.45	21.56	84.7151277	2.87	11.27701375	0.18	19.54	22.04.2020	11:50 AM	6	27.24	29.04.2020	10:35	13	30.05	06.05.2020	10:37	20	35.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.05.2020	09:00	25	NA	NA	14.05.2020	08:15	13:11	28	32.44	6.63	20.44	25.25	77.84	0.93	22.01	9.39	2.92	32.45117	18356164	2.9199	2.8826	0.8406	15865	NA
