sampleid	MouseID	Total_Sequences	Sequencer	Run
Live_fB2_C2_5893_CC1	5893	499586	HiSeq3000	R1-Hiseq
Live_fB1_C1_5811_CC1	5811	517362	HiSeq3000	R1-Hiseq
Killed_fB1_C2_5852_CC1	5852	519121	HiSeq3000	R1-Hiseq
Killed_fB2_C1_5888_CC1	5888	538405	HiSeq3000	R1-Hiseq
Killed_fB3_C1_6309_CC1	6309	555606	HiSeq3000	R1-Hiseq
Killed_fB3_C2_6295_CC1	6295	558044	HiSeq3000	R1-Hiseq
Killed_fB3_C1_6307_CC1	6307	560751	HiSeq3000	R1-Hiseq
Killed_fB3_C2_6306_CC1	6306	575509	HiSeq3000	R1-Hiseq
Killed_fB2_C2_5889_CC1	5889	575519	HiSeq3000	R1-Hiseq
Killed_fB2_C2_5916_CC1	5916	576534	HiSeq3000	R1-Hiseq
Live_fB2_C1_5917_CC1	5917	580622	HiSeq3000	R1-Hiseq
Killed_fB3_C1_6297_CC1	6297	587447	HiSeq3000	R1-Hiseq
Killed_fB1_C1_5798_CC1	5798	587464	HiSeq3000	R1-Hiseq
Live_fB3_C2_6313_CC1	6313	601615	HiSeq3000	R1-Hiseq
Live_fB3_C2_6308_CC1	6308	609816	HiSeq3000	R1-Hiseq
Live_fB2_C2_5954_CC1	5954	613703	HiSeq3000	R1-Hiseq
Live_fB3_C1_6310_CC1	6310	617698	HiSeq3000	R1-Hiseq
Killed_fB1_C1_5846_CC1	5846	623875	HiSeq3000	R1-Hiseq
Live_fB3_C1_6303_CC1	6303	628941	HiSeq3000	R1-Hiseq
Live_fB1_C1_5810_CC1	5810	633729	HiSeq3000	R1-Hiseq
Killed_fB2_C1_5886_CC1	5886	664837	HiSeq3000	R1-Hiseq
Live_fB3_C2_6300_CC1	6300	673023	HiSeq3000	R1-Hiseq
Live_fB2_C1_5951_CC1	5951	678173	HiSeq3000	R1-Hiseq
Killed_fB2_C2_5890_CC1	5890	687991	HiSeq3000	R1-Hiseq
Killed_fB1_C2_5851_CC1	5851	700547	HiSeq3000	R1-Hiseq
Live_fB1_C1_5848_CC1	5848	712344	HiSeq3000	R1-Hiseq
Live_fB3_C1_6315_CC1	6315	771751	HiSeq3000	R1-Hiseq
Live_fB4_C2_6392_CC1	6392	781247	NextSeq	R3-Nextseq
Live_fB1_C2_5812_CC1	5812	784594	HiSeq3000	R1-Hiseq
Live_fB4_C1_6410_CC1	6410	904964	NextSeq	R3-Nextseq
Live_fB5_C2_6450_CC1	6450	923985	NextSeq	R3-Nextseq
Killed_fB5_C1_6439_CC1	6439	959417	NextSeq	R3-Nextseq
Live_fB6_C1_6477_CC1	6477	1087281	NextSeq	R3-Nextseq
Live_fB6_C1_6473_CC1	6473	1122364	NextSeq	R3-Nextseq
Killed_fB4_C2_6396_CC1	6396	1165781	NextSeq	R3-Nextseq
Live_fB1_C2_5850_CC1	5850	1169740	HiSeq3000	R2-Hiseq
Live_fB2_C2_5953_CC1	5953	1187949	HiSeq3000	R2-Hiseq
Killed_fB1_C1_5809_CC1	5809	1222522	HiSeq3000	R2-Hiseq
Killed_fB6_C2_6478_CC1	6478	1258009	NextSeq	R3-Nextseq
Live_fB4_C1_6395_CC1	6395	1290867	NextSeq	R3-Nextseq
Killed_fB4_C1_6405_CC1	6405	1327293	NextSeq	R3-Nextseq
Killed_fB6_C1_6471_CC1	6471	1330101	NextSeq	R3-Nextseq
Live_fB4_C1_6400_CC1	6400	1367354	NextSeq	R3-Nextseq
Live_fB1_C2_5799_CC1	5799	1418233	HiSeq3000	R2-Hiseq
Killed_fB4_C2_6403_CC1	6403	1436678	NextSeq	R3-Nextseq
Killed_fB6_C2_6484_CC1	6484	1452251	NextSeq	R3-Nextseq
Killed_fB5_C1_6443_CC1	6443	1466592	NextSeq	R3-Nextseq
Killed_fB5_C2_6442_CC1	6442	1472395	NextSeq	R3-Nextseq
Live_fB5_C1_6445_CC1	6445	1478595	NextSeq	R3-Nextseq
Live_fB6_C2_6487_CC1	6487	1496463	NextSeq	R3-Nextseq
Live_fB5_C1_6436_CC1	6436	1518347	NextSeq	R3-Nextseq
Killed_fB4_C1_6409_CC1	6409	1524675	NextSeq	R3-Nextseq
Killed_fB4_C2_6408_CC1	6408	1542671	NextSeq	R3-Nextseq
Killed_fB6_C1_6489_CC1	6489	1554895	NextSeq	R3-Nextseq
Killed_fB4_C1_6391_CC1	6391	1564852	NextSeq	R3-Nextseq
Live_fB1_C1_5849_CC1	5849	1573646	HiSeq3000	R2-Hiseq
Killed_fB6_C2_6483_CC1	6483	1595100	NextSeq	R3-Nextseq
Live_fB5_C1_6437_CC1	6437	1596773	NextSeq	R3-Nextseq
Live_fB5_C2_6444_CC1	6444	1604125	NextSeq	R3-Nextseq
Live_fB4_C2_6398_CC1	6398	1611204	NextSeq	R3-Nextseq
Live_fB4_C1_6404_CC1	6404	1611596	NextSeq	R3-Nextseq
Live_fB6_C2_6481_CC1	6481	1630557	NextSeq	R3-Nextseq
Live_fB4_C2_6406_CC1	6406	1649901	NextSeq	R3-Nextseq
Killed_fB1_C1_5847_CC1	5847	1666809	HiSeq3000	R2-Hiseq
Live_fB2_C1_5891_CC1	5891	1667908	HiSeq3000	R2-Hiseq
Live_fB6_C2_6479_CC1	6479	1668816	NextSeq	R3-Nextseq
Live_fB5_C2_6446_CC1	6446	1712281	NextSeq	R3-Nextseq
Killed_fB5_C1_6441_CC1	6441	1721578	NextSeq	R3-Nextseq
Killed_fB5_C1_6438_CC1	6438	1732114	NextSeq	R3-Nextseq
Killed_fB6_C1_6472_CC1	6472	1785991	NextSeq	R3-Nextseq
Killed_fB1_C2_5800_CC1	5800	1790167	HiSeq3000	R2-Hiseq
Killed_fB4_C1_6399_CC1	6399	1814045	NextSeq	R3-Nextseq
Live_fB6_C1_6485_CC1	6485	1815484	NextSeq	R3-Nextseq
Killed_fB6_C2_6476_CC1	6476	1817436	NextSeq	R3-Nextseq
Live_fB5_C1_6434_CC1	6434	1838570	NextSeq	R3-Nextseq
Killed_fB2_C1_5887_CC1	5887	1844529	HiSeq3000	R2-Hiseq
Live_fB6_C1_6486_CC1	6486	1891287	NextSeq	R3-Nextseq
