MouseID	qPCR_Round	Plate	input_amount	qPCR_16S_SQ_Mean	qPCR_16S_SQ_per_gCC	qPCR_Cmin_SQ_Mean	qPCR_Cmin_SQ_per_gCC
5798	1	R1_plate6	79	376752.8374	15896744194.0928	376	15864979
5809	1	R1_plate6	67	425483.689	21168342736.3184	420	20895522
5846	1	R1_plate6	72	476332.5751	22052434032.4074	502	23240741
5847	1	R1_plate6	75	782467.5704	34776336462.2222	747	33200000
5800	1	R1_plate6	78	745080.0118	31841026145.2991	613	26196581
5814	1	R1_plate6	77	648689.6157	28081801545.4545	405	17532468
5851	1	R1_plate6	84	408066.4478	16193113007.9365	725	28769841
5852	1	R1_plate6	72	470157.1489	21766534671.2963	968	44814815
5886	1	R1_plate6	63	310750.868	16441844867.7249	6	317460
5887	1	R1_plate6	70	722494.5983	34404504680.9524	11	523810
5888	1	R1_plate6	77	512744.3431	22196724809.5238	10	432900
5949	1	R1_plate6	74	894772.9838	40305089360.3604	18	810811
5889	1	R1_plate6	71	529729.7782	24869942638.4977	11	516432
5890	1	R1_plate6	71	531624.1703	24958881234.7418	11	516432
5916	1	R1_plate6	74	343565.2861	15475913788.2883	11	495495
5950	1	R1_plate6	77	609784.1992	26397584380.9524	16	692641
6297	1	R1_plate6	71	335775.6155	15764113403.7559	422	19812207
6307	1	R1_plate6	77	558309.9371	24169261346.3203	20	865801
6309	1	R1_plate6	73	474568.5542	21669796995.4338	246	11232877
6295	1	R1_plate6	66	424441.4216	21436435434.3434	675	34090909
6299	1	R1_plate6	77	702073.2011	30392779268.3983	551	23852814
6304	1	R1_plate6	80	461706.7745	19237782270.8333	539	22458333
6306	1	R1_plate6	66	350066.5828	17680130444.4444	384	19393939
5810	1	R1_plate6	74	319482.7958	14391116927.9279	501	22567568
5811	1	R1_plate6	67	463896.8734	23079446437.8109	557	27711443
5848	1	R1_plate6	70	456880.0334	21756192066.6667	444	21142857
5849	1	R1_plate6	73	555717.7077	25375237794.5205	402	18356164
5799	1	R1_plate6	79	708933.739	29912815991.5612	830	35021097
5812	1	R1_plate6	67	229270.1905	11406477139.3035	377	18756219
5813	1	R1_plate6	69	597016.5855	28841380942.029	563	27198068
5850	1	R1_plate6	71	635374.1641	29829772962.4413	522	24507042
5891	1	R1_plate6	64	714907.3738	37234759052.0833	327	17031250
5917	1	R1_plate6	70	494882.1408	23565816228.5714	328	15619048
5951	1	R1_plate6	68	620673.366	30425165000	407	19950980
5952	1	R1_plate6	70	449611.8014	21410085780.9524	324	15428571
5892	1	R1_plate6	70	572111.6969	27243414138.0952	568	27047619
5893	1	R1_plate6	77	509546.0283	22058269623.3766	437	18917749
5953	1	R1_plate6	79	871880.2527	36788196316.4557	461	19451477
5954	1	R1_plate6	76	477437.7752	20940253298.2456	599	26271930
6303	1	R1_plate6	65	485362.3452	24890376676.9231	403	20666667
6310	1	R1_plate6	72	408136.5648	18895211333.3333	547	25324074
6312	1	R1_plate6	76	635334.3294	27865540763.1579	300	13157895
6315	1	R1_plate6	69	496587.3009	23989724681.1594	169	8164251
6300	1	R1_plate6	64	297183.0485	15478283776.0417	406	21145833
6308	1	R1_plate6	74	523194.0797	23567300887.3874	562	25315315
6313	1	R1_plate6	73	443841.8958	20266753232.8767	432	19726027
6391	2	R2_plate2	75.3	328145.8209	14526154090.3054	6	265604
6399	2	R2_plate2	72.7	424941.3352	19483784282.4392	11	504356
6405	2	R2_plate2	78.3	294915.803	12554951170.7109	11	468284
6409	2	R2_plate2	72	355629.4098	16464324527.7778	8	370370
6396	2	R2_plate2	76.4	428616.2136	18700532879.5812	11	479930
6402	2	R2_plate2	71.8	363666.0713	16883290218.1987	4	185701
6403	2	R2_plate2	74.9	136917.6747	6093354459.27904	4	178015
