MouseID	Batch	Promethion_Position	StartDate	StartTime	EndTime	Cycle_Hrs	Day	Cycle	Age_months	Genotype	ID_code	InitMass_g	BP_kPa	TempC	RH_pct	Avg_EE	Tot_EE	Avg_VO2	Avg_VCO2	Avg_RER	Avg_VH2O	R_EE_30	R_RER_30	QR_EE_30	QR_RER_30	Rdur_hrs	A_EE_15	A_RER_15	QA_EE_15	QA_RER_15	Adur_hrs	AccessA_pct	UptakeA_g	UptakeA_N	UptakeA_Sum	UptakeA_min	InterUptakeA_min	UptakeWA_g	UptakeWA_N	UptakeWA_Sum	UptakeWA_min	InterUptakeWA_min	BodyMass_g	BodyMass_SD	YBreaks	XBreaks	ZBreaks	AllMeters	PedMeters	PedSpeed	Walk_pct	Still_pct	Sleep_pct	Sleep_hrs
6178	mB1	11	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6178	.	96.31527	.	.	0.5859143	7.031794	1.962488	1.836412	0.9330617	0.2912208	0.356738	0.8956748	0.4404359	0.9495377	0.5	0.8692904	0.9811767	0.7347511	0.9593661	0.25	0.9330617	0.1131369	48	5.430572	2.306597	12.29113	0.04991617	49	2.445892	0.8105442	13.39583	0	0	17315	17423	5750	141.557	106.7564	0.02852197	18.25904	56.70509	43.13753	5.177083
6291	mB1	14	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6291	.	96.31527	.	.	0.6415604	7.699669	2.138191	2.048882	0.9568905	0.3109534	0.3991115	0.9558507	0.4003504	0.9542508	0.5	0.8695288	0.9877262	0.7970484	0.9694915	0.25	0.9568905	0.3970407	46	18.26387	3.907246	10.02815	0.07151958	56	4.005096	0.578869	9.692122	0	0	21641	13696	4225	119.0198	86.73108	0.02589737	17.52534	54.44382	44.66278	5.360139
6181	mB1	5	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6181	.	96.31527	.	.	0.5977348	7.173696	1.988351	1.922381	0.961628	0.3017675	0.3856237	0.9122479	0.457363	0.9876043	0.5	0.8466769	0.9845084	0.7481862	0.9916281	0.25	0.961628	0.1632669	36	5.877608	3.200463	14.47714	0.06671956	30	2.001587	1.05	21.48908	0	0	17586	10162	5416	101.4183	72.57605	0.02691955	16.49539	63.11392	47.07911	5.65
6191	mB1	7	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6191	.	96.31527	.	.	0.671495	8.059004	2.249548	2.103176	0.930391	0.4841743	0.3718558	0.7692937	0.4362852	0.902237	0.5	0.8434193	0.9577004	0.8135521	0.9615657	0.25	0.930391	0.3142336	77	24.19599	3.868615	4.141448	0.09134182	90	8.220764	0.7725926	6.275655	0	0	27809	13263	5174	153.8568	115.6938	0.03258233	16.6713	37.29343	26.57501	3.189306
6180	mB1	4	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6180	.	96.31527	.	.	0.5564548	6.678269	1.855843	1.772486	0.9547127	0.2932687	0.3592593	0.9455696	0.5153155	0.9341405	0.5	0.8044046	0.9338462	0.6348794	0.9437016	0.25	0.9547127	0.09965176	54	5.381195	1.705247	10.06509	0.08250529	45	3.712738	0.7370371	13.52045	0	0	15611	17402	5814	114.1445	84.48956	0.02595941	15.27797	83.09957	82.0349	9.845278
6189	mB1	16	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6189	.	96.31527	.	.	0.5806565	6.96878	1.939096	1.840536	0.9491533	0.3046236	0.3737158	0.9382356	0.3769563	0.9313852	0.5	0.8030906	0.9737025	0.7565063	0.9692991	0.25	0.9491533	0.1285815	50	6.429075	2.219667	9.504762	0.05356074	51	2.731598	0.6630719	12.85067	0	0	13704	17030	3158	108.4731	78.4805	0.02565585	14.4841	61.10725	45.64412	5.477778
6190	mB1	15	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6190	.	96.31527	.	.	0.5110438	6.13325	1.703784	1.630004	0.9544724	0.2655114	0.3293699	0.8759599	0.37958	0.9725465	0.5	0.7666691	0.9730877	0.7052346	0.9476957	0.25	0.9544724	0.1352328	26	3.516053	3.935256	13.30733	0.0944737	35	3.306579	1.377143	11.15882	0	0	13664	9330	3220	70.43631	48.18039	0.02581811	8.688608	68.15488	56.19822	6.744444
6294	mB1	2	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6294	.	96.31527	.	.	0.6971034	8.36641	2.332633	2.193023	0.9354393	0.3956134	0.3425938	0.819922	0.5157879	0.8778868	0.5	0.8945442	0.9629451	0.8047786	0.9691101	0.25	0.9354393	0.6400136	61	39.04083	4.180874	4.731945	0.1143699	46	5.261015	0.9525362	11.12037	0	0	32734	13064	4228	154.9996	113.7328	0.03327801	18.85849	59.17003	58.13544	6.976944
6188	mB1	12	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6188	.	96.31527	.	.	0.6909021	8.291766	2.292518	2.242513	0.9777417	0.3691314	0.4744463	0.9901881	0.4826868	0.9924459	0.5	0.8975602	0.9888332	0.6910489	0.9535993	0.25	0.9777417	0.1050305	72	7.562196	3.459259	6.520422	0.1015037	67	6.800748	1.112438	9.584344	0	0	23718	16162	10806	152.2157	110.2825	0.03125965	25.85984	41.29288	29.02375	3.483333
6293	mB1	10	2020-07-07	18:06:08	06:06:13	12	3	0	.	.	6293	.	96.31527	.	.	0.6022551	7.228045	2.022564	1.868589	0.9230397	0.3142291	0.3475179	0.9075171	0.4251205	0.9083894	0.5	0.8579184	0.9104373	0.7893487	0.885108	0.25	0.9230397	0.09441757	48	4.532043	2.275347	10.40532	0.1041412	38	3.957366	1.138597	14.81216	0	0	18971	12512	4968	143.2607	113.6017	0.03385307	16.14128	58.59835	41.34611	4.962083
