MouseID	Promethion_Position	Batch	DateTime	VO2_M	VCO2_M	VH2O_M	kcal_hr_M	RER_M	VOC_M	H2_M	FoodInA_M	WaterInA_M	BodyMass_Mnz	PedSpeed_Mnz	PedMeters_M	PedMeters_R	AllMeters_M	AllMeters_R	XBreak_R	YBreak_R	ZBreak_R	EnviroTemp_M	EnviroRH_M	EnviroBP_M	EnviroLightlux_M	EnviroOccupancy_M	EnviroSound_M	Still_pct_M	Sleep_pct_M
6178	11	mB1	2020-07-05 07:33:20	-0.006877352	-0.001296352	-0.009204964	-0.001712245	0.2477302	1.605882	0.1578488	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.	.	.	100	100
6178	11	mB1	2020-07-05 08:33:20	0.06775384	0.0357124	0.004538886	0.01839095	-0.03020157	9.367644	-9.956798	0	0.02061104	0	0.0212325	0.06874544	3.067469	0.07345194	3.291656	177	217	82	.	.	.	.	.	.	95.33334	95.25
6178	11	mB1	2020-07-05 09:33:20	2.328373	1.975599	0.3689192	0.6816677	0.8498435	677.0122	281.8452	0.693469	0.5778003	0	0.01595825	22.03205	31.92217	25.43075	37.81815	3171	3253	1499	.	.	.	.	.	.	21.88889	4.583333
6178	11	mB1	2020-07-05 10:33:20	2.308681	1.960418	0.4664202	0.6760041	0.8490032	508.3366	142.6107	1.267595	0.7683583	0	0.01349753	46.58728	20.75321	55.4637	25.65717	2459	2700	1047	.	.	.	.	.	.	32.19444	12.22222
6178	11	mB1	2020-07-05 11:33:20	1.680165	1.371229	0.3923813	0.4882866	0.8095735	364.8251	78.67695	1.486103	0.9096373	0	0.006196151	58.22394	2.885578	70.93985	4.858963	984	520	25	.	.	.	.	.	.	77.61111	72.36111
6178	11	mB1	2020-07-05 12:33:20	1.4889	1.137954	0.2949632	0.42758	0.7629933	297.9662	71.60605	1.486591	0.9096373	0	0.004032938	58.73633	0.1450005	71.83423	0.2850037	180	10	0	.	.	.	.	.	.	98.19444	96.36111
6178	11	mB1	2020-07-05 13:33:20	1.600632	1.287434	0.2465117	0.4639195	0.7989871	314.1782	75.68202	1.494709	0.9311247	0	0.008258585	59.82532	4.721233	73.48552	7.156235	1196	704	66	.	.	.	.	.	.	70.27778	61.05556
6178	11	mB1	2020-07-05 14:33:20	1.437747	1.146204	0.2106271	0.4160318	0.7964236	256.4035	62.43937	1.52679	1.118987	0	0.005694911	63.82295	0.4155922	79.64461	0.6907578	172	39	0	.	.	.	.	.	.	96.38889	94.55556
6178	11	mB1	2020-07-05 15:33:20	1.542217	1.244642	0.1767297	0.447267	0.8036104	225.5456	54.74799	1.52679	1.118987	0	0.007022463	64.88939	3.629677	81.31982	5.932556	1380	543	39	.	.	.	.	.	.	72.30556	55.66667
6178	11	mB1	2020-07-05 16:33:20	1.346292	1.19888	0.1542769	0.3979019	0.8902357	240.1373	63.96387	1.52679	1.118987	0	0.006029204	67.6527	0.742157	85.84837	1.105598	204	78	0	.	.	.	.	.	.	95.22222	92.47222
